Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Angophora bakeri,APC,Angophora bakeri E.C.Hall,legitimate,scientific,[],Angophora bakeri,E.C.Hall,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,bakeri,,bakeri,,,,
TRUE,Angophora costata,APC,Angophora costata (Gaertn.) Britten,legitimate,scientific,[],Angophora costata,(Gaertn.) Britten,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,costata,,costata,,,,
TRUE,Angophora crassifolia,,Angophora crassifolia (G.J.Leach) L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Angophora crassifolia,(G.J.Leach) L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,crassifolia,,crassifolia,,,,
TRUE,Angophora euryphylla,,Angophora euryphylla (G.J.Leach) L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Angophora euryphylla,(G.J.Leach) L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,euryphylla,,euryphylla,,,,
TRUE,Angophora exul,,Angophora exul K.D.Hill,legitimate,scientific,[],Angophora exul,K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,exul,,exul,,,,
TRUE,Angophora floribunda,APC,Angophora floribunda (Sm.) Sweet,legitimate,scientific,[],Angophora floribunda,(Sm.) Sweet,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,floribunda,,floribunda,,,,
FALSE,Angophora floribunda x paludosa,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Angophora hispida,APC,Angophora hispida (Sm.) Blaxell,legitimate,scientific,[],Angophora hispida,(Sm.) Blaxell,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,hispida,,hispida,,,,
TRUE,Angophora inopina,APC,Angophora inopina K.D.Hill,legitimate,scientific,[],Angophora inopina,K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,inopina,,inopina,,,,
TRUE,Angophora leiocarpa,APC,Angophora leiocarpa (L.A.S.Johnson ex G.J.Leach) K.R.Thiele & Ladiges,legitimate,scientific,[],Angophora leiocarpa,(L.A.S.Johnson ex G.J.Leach) K.R.Thiele & Ladiges,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,leiocarpa,,leiocarpa,,,,
TRUE,Angophora melanoxylon,APC,Angophora melanoxylon R.T.Baker,legitimate,scientific,[],Angophora melanoxylon,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,melanoxylon,,melanoxylon,,,,
TRUE,Angophora paludosa,,Angophora paludosa (G.J.Leach) K.R.Thiele & Ladiges,legitimate,scientific,[],Angophora paludosa,(G.J.Leach) K.R.Thiele & Ladiges,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,paludosa,,paludosa,,,,
TRUE,Angophora robur,APC,Angophora robur L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Angophora robur,L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,robur,,robur,,,,
FALSE,Angophora robur x subvelutina,,not found,,,,,,,,,,,,,,,,,,,,
FALSE,Angophora spp.,,not found,,,,,,,,,,,,,,,,,,,,
