Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Angophora bakeri subsp. bakeri,APC,Angophora bakeri E.C.Hall subsp. bakeri,legitimate,autonym,[],Angophora bakeri subsp. bakeri,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Angophora,bakeri,bakeri,bakeri,,,,
TRUE,Angophora costata subsp. costata,APC,Angophora costata (Gaertn.) Britten subsp. costata,legitimate,autonym,[],Angophora costata subsp. costata,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Angophora,costata,costata,costata,,,,
TRUE,Angophora bakeri subsp. crassifolia,APC,Angophora bakeri subsp. crassifolia G.J.Leach,legitimate,scientific,[],Angophora bakeri subsp. crassifolia,G.J.Leach,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Angophora,bakeri,crassifolia,crassifolia,,,,
TRUE,Angophora costata subsp. euryphylla,APC,Angophora costata subsp. euryphylla L.A.S.Johnson ex G.J.Leach,legitimate,scientific,[],Angophora costata subsp. euryphylla,L.A.S.Johnson ex G.J.Leach,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Angophora,costata,euryphylla,euryphylla,,,,
TRUE,Angophora floribunda,APC,Angophora floribunda (Sm.) Sweet,legitimate,scientific,[],Angophora floribunda,(Sm.) Sweet,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,floribunda,,floribunda,,,,
TRUE,Angophora hispida,APC,Angophora hispida (Sm.) Blaxell,legitimate,scientific,[],Angophora hispida,(Sm.) Blaxell,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,hispida,,hispida,,,,
TRUE,Angophora inopina,APC,Angophora inopina K.D.Hill,legitimate,scientific,[],Angophora inopina,K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,inopina,,inopina,,,,
TRUE,Angophora costata subsp. leiocarpa,,Angophora costata subsp. leiocarpa L.A.S.Johnson ex G.J.Leach,legitimate,scientific,[],Angophora costata subsp. leiocarpa,L.A.S.Johnson ex G.J.Leach,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Angophora,costata,leiocarpa,leiocarpa,,,,
TRUE,Angophora melanoxylon,APC,Angophora melanoxylon R.T.Baker,legitimate,scientific,[],Angophora melanoxylon,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Angophora,melanoxylon,,melanoxylon,,,,
TRUE,Eucalyptus ovata subsp. ovata,,Eucalyptus ovata Labill. subsp. ovata,legitimate,autonym,[],Eucalyptus ovata subsp. ovata,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,ovata,ovata,ovata,,,,
