Scientific name,Assign Scientific name
Angophora bakeri,Angophora bakeri
Angophora bakeri subsp. bakeri,Angophora bakeri
Angophora bakeri subsp. crassifolia,Angophora crassifolia
Angophora bakeri subsp. paludosa,Angophora paludosa
Angophora costata,Angophora costata
Angophora costata subsp. costata,Angophora costata
Angophora costata subsp. euryphylla,Angophora euryphylla
Angophora costata subsp. leiocarpa,Angophora leiocarpa
Angophora crassifolia,Angophora crassifolia
Angophora euryphylla,Angophora euryphylla
Angophora exul,Angophora exul
Angophora floribunda,Angophora floribunda
Angophora floribunda x paludosa,Angophora floribunda x paludosa
Angophora hispida,Angophora hispida
Angophora inopina,Angophora inopina
Angophora leiocarpa,Angophora leiocarpa
Angophora melanoxylon,Angophora melanoxylon
Angophora paludosa,Angophora paludosa
Angophora robur,Angophora robur
Angophora robur x subvelutina,Angophora robur x subvelutina
Angophora spp.,Angophora spp.
Angophora subvelutina,Angophora subvelutina
Angophora woodsiana,Angophora woodsiana
Corymbia citriodora,Corymbia citriodora
Corymbia citriodora subsp. variegata,Corymbia citriodora
Corymbia dolichocarpa,Corymbia dolichocarpa
Corymbia eximia,Corymbia eximia
Corymbia gummifera,Corymbia gummifera
Corymbia henryi,Corymbia henryi
Corymbia intermedia,Corymbia intermedia
Corymbia maculata,Corymbia maculata
Corymbia maculata <--> variegata intergrade,Corymbia maculata <--> variegata intergrade
Corymbia spp.,Corymbia spp.
Corymbia tessellaris,Corymbia tessellaris
Corymbia torelliana,Corymbia torelliana
Corymbia trachyphloia,Corymbia trachyphloia
Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia subsp. amphistomatica
Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia
Corymbia tumescens,Corymbia tumescens
Corymbia variegata,Corymbia variegata
Eucalyptus acaciiformis,Eucalyptus acaciiformis
Eucalyptus acmenioides,Eucalyptus acmenoides
Eucalyptus acmenoides,Eucalyptus acmenoides
Eucalyptus aenea,Eucalyptus aenea
Eucalyptus agglomerata,Eucalyptus agglomerata
Eucalyptus aggregata,Eucalyptus aggregata
Eucalyptus albens,Eucalyptus albens
Eucalyptus albens <--> moluccana,Eucalyptus albens <--> moluccana
Eucalyptus albens x crebra,Eucalyptus albens x crebra
Eucalyptus albens x moluccana,Eucalyptus albens <--> moluccana
Eucalyptus amplifolia,Eucalyptus amplifolia
Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia
Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora
Eucalyptus ancophila,Eucalyptus ancophila
Eucalyptus andrewsii,Eucalyptus andrewsii
Eucalyptus andrewsii subsp. andrewsii,Eucalyptus andrewsii
Eucalyptus andrewsii subsp. campanulata,Eucalyptus campanulata
Eucalyptus angophoroides,Eucalyptus angophoroides
Eucalyptus apiculata,Eucalyptus apiculata
Eucalyptus apothalassica,Eucalyptus apothalassica
Eucalyptus apothalassica x chloroclada,Eucalyptus apothalassica x chloroclada
Eucalyptus approximans,Eucalyptus approximans
Eucalyptus aquatica,Eucalyptus aquatica
Eucalyptus aromaphloia,Eucalyptus corticosa
Eucalyptus badjensis,Eucalyptus badjensis
Eucalyptus baeuerlenii,Eucalyptus baeuerlenii
Eucalyptus baileyana,Eucalyptus baileyana
Eucalyptus bakeri,Eucalyptus bakeri
Eucalyptus bancroftii,Eucalyptus bancroftii
Eucalyptus banksii,Eucalyptus banksii
Eucalyptus bauerana,Eucalyptus baueriana
Eucalyptus baueriana,Eucalyptus baueriana
Eucalyptus baxteri,Eucalyptus baxteri
Eucalyptus behriana,Eucalyptus behriana
Eucalyptus bensonii,Eucalyptus bensonii
Eucalyptus benthamii,Eucalyptus benthamii
Eucalyptus beyeri,Eucalyptus beyeriana
Eucalyptus beyeriana,Eucalyptus beyeriana
Eucalyptus beyeriana <--> crebra,Eucalyptus beyeriana <--> crebra
Eucalyptus bicostata,Eucalyptus bicostata
Eucalyptus biturbinata,Eucalyptus biturbinata
Eucalyptus blakelyi,Eucalyptus blakelyi
Eucalyptus blakelyi <--> dealbata,Eucalyptus blakelyi <--> dealbata
Eucalyptus blakelyi <--> tereticornis,Eucalyptus blakelyi <--> tereticornis
Eucalyptus blakelyi x chloroclada,Eucalyptus blakelyi x chloroclada
Eucalyptus blakelyi x dwyeri,Eucalyptus blakelyi x dwyeri
Eucalyptus blakelyi x melliodora,Eucalyptus blakelyi x melliodora
Eucalyptus blaxlandii,Eucalyptus blaxlandii
Eucalyptus boliviana,Eucalyptus boliviana
Eucalyptus bosistoana,Eucalyptus bosistoana
Eucalyptus botryoides,Eucalyptus botryoides
Eucalyptus botryoides <--> saligna,Eucalyptus botryoides <--> saligna
Eucalyptus bridgesiana,Eucalyptus bridgesiana
Eucalyptus brunnea,Eucalyptus brunnea
Eucalyptus burgessiana,Eucalyptus burgessiana
Eucalyptus caleyi,Eucalyptus caleyi
Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi
Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii
Eucalyptus caliginosa,Eucalyptus caliginosa
Eucalyptus caliginosa <--> laevopinea,Eucalyptus caliginosa <--> laevopinea
Eucalyptus calycogona,Eucalyptus calycogona
Eucalyptus camaldulensis,Eucalyptus camaldulensis
Eucalyptus camaldulensis <--> chloroclada,Eucalyptus camaldulensis <--> chloroclada
Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis
Eucalyptus cameronii,Eucalyptus cameronii
Eucalyptus cameronii x mckiei,Eucalyptus cameronii x mckiei
Eucalyptus camfieldii,Eucalyptus camfieldii
Eucalyptus campanulata,Eucalyptus campanulata
Eucalyptus camphora,Eucalyptus camphora
Eucalyptus camphora subsp. camphora,Eucalyptus camphora subsp. camphora
Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana
Eucalyptus camphora subsp. relicta,Eucalyptus camphora subsp. relicta
Eucalyptus canaliculata,Eucalyptus canaliculata
Eucalyptus canaliculata <--> punctata,Eucalyptus canaliculata <--> punctata
Eucalyptus cannonii,Eucalyptus cannonii
Eucalyptus cannonii <--> macrorhyncha,Eucalyptus cannonii <--> macrorhyncha
Eucalyptus canobolensis,Eucalyptus canobolensis
Eucalyptus capitellata,Eucalyptus capitellata
Eucalyptus carnea,Eucalyptus carnea
Eucalyptus castrensis,Eucalyptus castrensis
Eucalyptus chapmaniana,Eucalyptus chapmaniana
Eucalyptus chloroclada,Eucalyptus chloroclada
Eucalyptus cinerea,Eucalyptus cinerea
Eucalyptus cladocalyx,Eucalyptus cladocalyx
Eucalyptus codonocarpa,Eucalyptus codonocarpa
Eucalyptus conica,Eucalyptus conica
Eucalyptus conjuncta,Eucalyptus conjuncta
Eucalyptus consideniana,Eucalyptus consideniana
Eucalyptus conspicua,Eucalyptus conspicua
