species,whole bark description
Angophora bakeri subsp. bakeri,"branches rough, no ribbons in branches, wholly rough, rough bark box type"
Angophora bakeri subsp. crassifolia,"branches rough, no ribbons in branches, fibrous, wholly rough"
Angophora costata subsp. costata,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Angophora costata subsp. euryphylla,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Angophora costata subsp. leiocarpa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Angophora floribunda,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Angophora hispida,"branches rough, no ribbons in branches, fibrous, wholly rough"
Angophora inopina,"branches rough, no ribbons in branches, fibrous, wholly rough"
Angophora melanoxylon,"branches rough, no ribbons in branches, fibrous, wholly rough"
Angophora robur,"branches rough, no ribbons in branches, fibrous, wholly rough"
Angophora subvelutina,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Angophora woodsiana,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type"
Corymbia abbreviata,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia abergiana,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Corymbia aparrerinja,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia arafurica,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia arenaria,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia arnhemensis,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia aspera,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia aureola,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia bella,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia blakei,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia bleeseri,"branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia bloxsomei,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia brachycarpa,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia bunites,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia cadophora subsp. cadophora,"branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Corymbia cadophora subsp. pliantha,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia cadophora subsp. polychroma,"branches rough, fibrous, wholly rough, rough bark box type, rough bark tessellated"
Corymbia calophylla,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia candida,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia chartacea,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia chippendalei,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia citriodora,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia clandestina,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia clarksoniana,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia clavigera,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia cliftoniana,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia collina,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia confertiflora,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia dallachiana,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia dendromerinx,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark box type, rough bark imperfectly shed, partly or all smooth"
Corymbia deserticola subsp. deserticola,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia deserticola subsp. mesogeotica,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia dichromophloia,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia disjuncta,"branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia dunlopiana,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia ellipsoidea,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia eremaea,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia erythrophloia,"branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia eximia,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia ferriticola,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia ferruginea subsp. ferruginea,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia ferruginea subsp. stypophylla,"branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated"
Corymbia ficifolia,"branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark tessellated"
Corymbia flavescens,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia foelscheana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia gilbertensis,"branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark tessellated, partly or all smooth"
Corymbia grandifolia subsp. grandifolia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia grandifolia subsp. lamprocardia,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia grandifolia subsp. longa,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia greeniana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, wholly smooth, rough bark box type, rough bark tessellated, partly or all smooth"
Corymbia gummifera,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia haematoxylon,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia hamersleyana,"branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth"
Corymbia hendersonii,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
Corymbia henryi,"branches smooth, no ribbons in branches, wholly smooth, partly or all smooth"
Corymbia hylandii,"branches rough, no ribbons in branches, wholly rough, rough bark tessellated"
