"","species","bark_type_fibrous","bark_type_partly_fibrous","bark_type_any_shedding","trunk_only_shedding","branches_only_shedding","ribbons_in_branches","mixed_bark_shedding","mixed_bark_ribbons"
"1","Angophora bakeri subsp. crassifolia","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"2","Angophora floribunda","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"3","Angophora hispida","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"4","Angophora inopina","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"5","Angophora melanoxylon","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"6","Angophora robur","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"7","Angophora subvelutina","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"8","Angophora woodsiana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"9","Corymbia cadophora subsp. cadophora","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"10","Corymbia cadophora subsp. polychroma","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"11","Corymbia jacobsiana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"12","Corymbia nesophila","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"13","Corymbia ptychocarpa subsp. aptycha","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"14","Corymbia ptychocarpa subsp. ptychocarpa","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"15","Corymbia zygophylla","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"16","Eucalyptus acaciiformis","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"17","Eucalyptus acmenoides","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"18","Eucalyptus agglomerata","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"19","Eucalyptus angophoroides","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"20","Eucalyptus apothalassica","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"21","Eucalyptus arenacea","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"22","Eucalyptus aromaphloia subsp. aromaphloia","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"23","Eucalyptus aurifodina","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"24","Eucalyptus baileyana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"25","Eucalyptus baxteri","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"26","Eucalyptus boliviana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"27","Eucalyptus brevistylis","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"28","Eucalyptus bridgesiana","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"29","Eucalyptus caliginosa","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"30","Eucalyptus cameronii","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"31","Eucalyptus camfieldii","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"32","Eucalyptus capitellata","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"33","Eucalyptus carnea","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"34","Eucalyptus ceracea","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"35","Eucalyptus chlorophylla","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"36","Eucalyptus cinerea subsp. cinerea","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"37","Eucalyptus conglomerata","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"38","Eucalyptus conspicua subsp. dispar","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"39","Eucalyptus decipiens","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
