species,bark
Angophora bakeri subsp. bakeri,branches rough
Angophora bakeri subsp. crassifolia,branches rough
Angophora floribunda,branches rough
Angophora hispida,branches rough
Angophora inopina,branches rough
Angophora melanoxylon,branches rough
Angophora robur,branches rough
Angophora subvelutina,branches rough
Angophora woodsiana,branches rough
Corymbia abbreviata,branches rough
Corymbia abergiana,branches rough
Corymbia arenaria,branches rough
Corymbia arnhemensis,branches rough
Corymbia aureola,branches rough
Corymbia bloxsomei,branches rough
Corymbia brachycarpa,branches rough
Corymbia bunites,branches rough
Corymbia cadophora subsp. cadophora,branches rough
Corymbia cadophora subsp. pliantha,branches rough
Corymbia cadophora subsp. polychroma,branches rough
Corymbia calophylla,branches rough
Corymbia chartacea,branches rough
Corymbia clandestina,branches rough
Corymbia clarksoniana,branches rough
Corymbia cliftoniana,branches rough
Corymbia collina,branches rough
Corymbia deserticola subsp. deserticola,branches rough
Corymbia deserticola subsp. mesogeotica,branches rough
Corymbia dunlopiana,branches rough
Corymbia ellipsoidea,branches rough
Corymbia eremaea,branches rough
Corymbia erythrophloia,branches rough
Corymbia eximia,branches rough
Corymbia ferruginea subsp. ferruginea,branches rough
Corymbia ferruginea subsp. stypophylla,branches rough
Corymbia ficifolia,branches rough
Corymbia foelscheana,branches rough
Corymbia greeniana,branches rough
Corymbia gummifera,branches rough
Corymbia haematoxylon,branches rough
Corymbia hamersleyana,branches rough
Corymbia hendersonii,branches rough
Corymbia hylandii,branches rough
Corymbia intermedia,branches rough
Corymbia jacobsiana,branches rough
Corymbia lamprophylla,branches rough
Corymbia latifolia,branches rough
Corymbia leichhardtii,branches rough
Corymbia lenziana,branches rough
Corymbia leptoloma,branches rough
Corymbia ligans,branches rough
Corymbia nesophila,branches rough
Corymbia novoguinensis,branches rough
Corymbia pachycarpa,branches rough
Corymbia papillosa,branches rough
Corymbia peltata,branches rough
Corymbia petalophylla,branches rough
Corymbia plena,branches rough
Corymbia pocillum,branches rough
Corymbia polycarpa,branches rough
Corymbia porrecta,branches rough
Corymbia ptychocarpa subsp. aptycha,branches rough
Corymbia ptychocarpa subsp. ptychocarpa,branches rough
Corymbia rhodops,branches rough
Corymbia scabrida,branches rough
Corymbia setosa,branches rough
Corymbia sphaerica,branches rough
Corymbia stockeri subsp. peninsularis,branches rough
Corymbia stockeri subsp. stockeri,branches rough
Corymbia terminalis,branches rough
Corymbia trachyphloia,branches rough
Corymbia umbonata,branches rough
Corymbia watsoniana subsp. capillata,branches rough
Corymbia watsoniana subsp. watsoniana,branches rough
Corymbia xanthope,branches rough
Corymbia zygophylla,branches rough
Eucalyptus acaciiformis,branches rough
Eucalyptus acmenoides,branches rough
Eucalyptus agglomerata,branches rough
Eucalyptus aggregata,branches rough
Eucalyptus albens,branches rough
Eucalyptus alligatrix subsp. alligatrix,branches rough
Eucalyptus alligatrix subsp. limaensis,branches rough
Eucalyptus ancophila,branches rough
Eucalyptus andrewsii subsp. andrewsii,branches rough
Eucalyptus andrewsii subsp. campanulata,branches rough
Eucalyptus angophoroides,branches rough
Eucalyptus apothalassica,branches rough
Eucalyptus arenacea,branches rough
Eucalyptus arenicola,branches rough
Eucalyptus argillacea,branches rough
Eucalyptus aromaphloia subsp. aromaphloia,branches rough
Eucalyptus aromaphloia subsp. sabulosa,branches rough
Eucalyptus atrata,branches rough
Eucalyptus aurifodina,branches rough
Eucalyptus baileyana,branches rough
Eucalyptus baiophylla,branches rough
Eucalyptus banksii,branches rough
Eucalyptus baueriana,branches rough
Eucalyptus baxteri,branches rough
Eucalyptus beaniana,branches rough
Eucalyptus beyeri,branches rough
Eucalyptus blaxlandii,branches rough
Eucalyptus boliviana,branches rough
Eucalyptus botryoides,branches rough
Eucalyptus brachyandra,branches rough
Eucalyptus brevipes,branches rough
Eucalyptus brevistylis,branches rough
Eucalyptus bridgesiana,branches rough
Eucalyptus brownii,branches rough
Eucalyptus cadens,branches rough
Eucalyptus caleyi subsp. caleyi,branches rough
Eucalyptus caleyi subsp. ovendenii,branches rough
Eucalyptus caliginosa,branches rough
Eucalyptus cameronii,branches rough
Eucalyptus camfieldii,branches rough
Eucalyptus canescens subsp. beadellii,branches rough
Eucalyptus canescens subsp. canescens,branches rough
Eucalyptus capitellata,branches rough
Eucalyptus carnea,branches rough
Eucalyptus cephalocarpa,branches rough
Eucalyptus ceracea,branches rough
Eucalyptus chlorophylla,branches rough
Eucalyptus cinerea subsp. cinerea,branches rough
Eucalyptus cinerea subsp. triplex,branches rough
Eucalyptus cloeziana,branches rough
Eucalyptus cneorifolia,branches rough
Eucalyptus comitae-vallis,branches rough
Eucalyptus conglomerata,branches rough
Eucalyptus conica,branches rough
Eucalyptus consideniana,branches rough
Eucalyptus conspicua subsp. conspicua,branches rough
Eucalyptus conspicua subsp. dispar,branches rough
Eucalyptus coolabah,branches rough
Eucalyptus cornuta,branches rough
Eucalyptus corticosa,branches rough
Eucalyptus corynodes,branches rough
Eucalyptus crebra,branches rough
Eucalyptus crenulata,branches rough
Eucalyptus croajingolensis,branches rough
