species,branches smooth
Angophora costata subsp. costata,yes
Angophora costata subsp. euryphylla,yes
Angophora costata subsp. leiocarpa,yes
Corymbia abergiana,yes
Corymbia aparrerinja,yes
Corymbia arafurica,yes
Corymbia arnhemensis,yes
Corymbia aspera,yes
Corymbia bella,yes
Corymbia blakei,yes
Corymbia bleeseri,yes
Corymbia candida,yes
Corymbia chippendalei,yes
Corymbia citriodora,yes
Corymbia clavigera,yes
Corymbia collina,yes
Corymbia confertiflora,yes
Corymbia dallachiana,yes
Corymbia dendromerinx,yes
Corymbia dichromophloia,yes
Corymbia disjuncta,yes
Corymbia ellipsoidea,yes
Corymbia eremaea,yes
Corymbia erythrophloia,yes
Corymbia ferriticola,yes
Corymbia ficifolia,yes
Corymbia flavescens,yes
Corymbia foelscheana,yes
Corymbia gilbertensis,yes
Corymbia grandifolia subsp. grandifolia,yes
Corymbia grandifolia subsp. lamprocardia,yes
Corymbia grandifolia subsp. longa,yes
Corymbia greeniana,yes
Corymbia hamersleyana,yes
Corymbia henryi,yes
Corymbia kombolgiensis,yes
Corymbia latifolia,yes
Corymbia lenziana,yes
Corymbia maculata,yes
Corymbia oocarpa,yes
Corymbia papuana,yes
Corymbia paractia,yes
Corymbia pauciseta,yes
Corymbia pocillum,yes
Corymbia polysciada,yes
Corymbia rhodops,yes
Corymbia serendipita,yes
Corymbia stockeri subsp. peninsularis,yes
Corymbia stockeri subsp. stockeri,yes
Corymbia terminalis,yes
Corymbia tessellaris,yes
Corymbia torelliana,yes
Corymbia torta,yes
Corymbia trachyphloia,yes
Corymbia umbonata,yes
Eucalyptus abdita,yes
Eucalyptus absita,yes
Eucalyptus accedens,yes
Eucalyptus acies,yes
Eucalyptus acroleuca,yes
Eucalyptus adesmophloia,yes
Eucalyptus aequioperta,yes
Eucalyptus aggregata,yes
Eucalyptus alba var. australasica,yes
Eucalyptus albens,yes
Eucalyptus albida,yes
Eucalyptus albopurpurea,yes
Eucalyptus alipes,yes
Eucalyptus alligatrix subsp. alligatrix,yes
Eucalyptus alligatrix subsp. limaensis,yes
Eucalyptus alligatrix subsp. miscella,yes
Eucalyptus ammophila,yes
Eucalyptus amplifolia subsp. amplifolia,yes
Eucalyptus amplifolia subsp. sessiliflora,yes
Eucalyptus amygdalina,yes
Eucalyptus ancophila,yes
Eucalyptus andrewsii subsp. andrewsii,yes
Eucalyptus andrewsii subsp. campanulata,yes
Eucalyptus angularis,yes
Eucalyptus angulosa,yes
Eucalyptus angustissima,yes
Eucalyptus annettae,yes
Eucalyptus annulata,yes
Eucalyptus annuliformis,yes
Eucalyptus apiculata,yes
Eucalyptus apodophylla,yes
Eucalyptus approximans subsp. approximans,yes
Eucalyptus approximans subsp. codonocarpa,yes
Eucalyptus aquilina,yes
Eucalyptus arachnaea subsp. arachnaea,yes
Eucalyptus arachnaea subsp. arrecta,yes
Eucalyptus arborella,yes
Eucalyptus archeri,yes
Eucalyptus arenicola,yes
Eucalyptus argophloia,yes
Eucalyptus argutifolia,yes
Eucalyptus aridimontana,yes
Eucalyptus armillata,yes
Eucalyptus aromaphloia subsp. sabulosa,yes
Eucalyptus articulata,yes
Eucalyptus aspersa,yes
Eucalyptus aspratilis,yes
Eucalyptus astringens subsp. astringens,yes
Eucalyptus astringens subsp. redacta,yes
Eucalyptus badjensis,yes
Eucalyptus baeuerlenii,yes
Eucalyptus baiophylla,yes
Eucalyptus bakeri,yes
Eucalyptus balladoniensis subsp. balladoniensis,yes
Eucalyptus balladoniensis subsp. sedens,yes
Eucalyptus bancroftii,yes
Eucalyptus banksii,yes
Eucalyptus barberi,yes
Eucalyptus baudiniana,yes
Eucalyptus beaniana,yes
Eucalyptus beardiana,yes
Eucalyptus behriana,yes
Eucalyptus bensonii,yes
Eucalyptus benthamii,yes
Eucalyptus bigalerita,yes
Eucalyptus blakelyi,yes
Eucalyptus blaxellii,yes
Eucalyptus blaxlandii,yes
Eucalyptus bosistoana,yes
Eucalyptus botryoides,yes
Eucalyptus brachyandra,yes
Eucalyptus brachycalyx,yes
Eucalyptus brachyphylla,yes
Eucalyptus brandiana,yes
Eucalyptus brassiana,yes
Eucalyptus brevifolia,yes
Eucalyptus brevipes,yes
Eucalyptus brockwayi,yes
Eucalyptus brookeriana,yes
Eucalyptus broviniensis,yes
Eucalyptus buprestium,yes
Eucalyptus burdettiana,yes
Eucalyptus burgessiana,yes
Eucalyptus burracoppinensis,yes
Eucalyptus cadens,yes
Eucalyptus calcareana,yes
Eucalyptus calcicola subsp. calcicola,yes
Eucalyptus calcicola subsp. unita,yes
Eucalyptus calycogona subsp. calycogona,yes
Eucalyptus calycogona subsp. miraculum,yes
Eucalyptus calycogona subsp. spaffordii,yes
Eucalyptus calycogona subsp. trachybasis,yes
Eucalyptus calyerup,yes
Eucalyptus camaldulensis subsp. acuta,yes
Eucalyptus camaldulensis subsp. arida,yes
Eucalyptus camaldulensis subsp. camaldulensis,yes
Eucalyptus camaldulensis subsp. minima,yes
Eucalyptus camaldulensis subsp. obtusa,yes
Eucalyptus camaldulensis subsp. refulgens,yes
Eucalyptus camaldulensis subsp. simulata,yes
Eucalyptus cambageana,yes
Eucalyptus campaspe,yes
Eucalyptus camphora subsp. camphora,yes
Eucalyptus camphora subsp. humeana,yes
Eucalyptus canaliculata,yes
Eucalyptus canescens subsp. beadellii,yes
Eucalyptus canescens subsp. canescens,yes
Eucalyptus canobolensis,yes
Eucalyptus capillosa subsp. capillosa,yes
Eucalyptus capillosa subsp. polyclada,yes
Eucalyptus captiosa,yes
Eucalyptus carnabyi,yes
Eucalyptus carnei,yes
Eucalyptus celastroides subsp. celastroides,yes
Eucalyptus celastroides subsp. virella,yes
Eucalyptus cephalocarpa,yes
Eucalyptus cerasiformis,yes
Eucalyptus ceratocorys,yes
Eucalyptus cernua,yes
Eucalyptus chapmaniana,yes
Eucalyptus chartaboma,yes
Eucalyptus chloroclada,yes
Eucalyptus cinerea subsp. triplex,yes
Eucalyptus cladocalyx,yes
Eucalyptus clelandii,yes
Eucalyptus clivicola,yes
Eucalyptus cloeziana,yes
Eucalyptus cneorifolia,yes
Eucalyptus coccifera,yes
Eucalyptus comitae-vallis,yes
Eucalyptus concinna,yes
Eucalyptus conferruminata subsp. conferruminata,yes
Eucalyptus conferruminata subsp. recherche,yes
Eucalyptus confluens,yes
Eucalyptus conglobata subsp. conglobata,yes
Eucalyptus conglobata subsp. perata,yes
Eucalyptus conica,yes
Eucalyptus consideniana,yes
Eucalyptus conspicua subsp. conspicua,yes
Eucalyptus conveniens,yes
Eucalyptus coolabah,yes
Eucalyptus cooperiana,yes
Eucalyptus cordata subsp. cordata,yes
Eucalyptus cordata subsp. quadrangulosa,yes
Eucalyptus cornuta,yes
Eucalyptus coronata,yes
Eucalyptus corrugata,yes
Eucalyptus corticosa,yes
Eucalyptus corynodes,yes
Eucalyptus cosmophylla,yes
Eucalyptus crenulata,yes
Eucalyptus creta,yes
Eucalyptus cretata,yes
Eucalyptus crispata,yes
Eucalyptus croajingolensis,yes
Eucalyptus cunninghamii,yes
Eucalyptus cuprea,yes
Eucalyptus cupularis,yes
Eucalyptus curtisii,yes
Eucalyptus cyanophylla,yes
Eucalyptus cyclostoma,yes
Eucalyptus cylindriflora,yes
Eucalyptus cylindrocarpa,yes
Eucalyptus cypellocarpa,yes
Eucalyptus dalrympleana subsp. dalrympleana,yes
Eucalyptus dalrympleana subsp. heptantha,yes
Eucalyptus dawsonii,yes
Eucalyptus dealbata,yes
Eucalyptus deanei,yes
Eucalyptus decolor,yes
Eucalyptus decorticans,yes
Eucalyptus decurva,yes
Eucalyptus deflexa,yes
Eucalyptus delegatensis subsp. delegatensis,yes
Eucalyptus delegatensis subsp. tasmaniensis,yes
Eucalyptus delicata,yes
Eucalyptus dendromorpha,yes
Eucalyptus densa subsp. densa,yes
Eucalyptus densa subsp. improcera,yes
Eucalyptus denticulata,yes
Eucalyptus depauperata,yes
Eucalyptus desmondensis,yes
Eucalyptus deuaensis,yes
Eucalyptus dielsii,yes
Eucalyptus diminuta,yes
Eucalyptus diptera,yes
Eucalyptus discreta,yes
Eucalyptus dissimulata,yes
Eucalyptus distuberosa subsp. aerata,yes
Eucalyptus distuberosa subsp. distuberosa,yes
Eucalyptus diversicolor,yes
Eucalyptus diversifolia subsp. diversifolia,yes
Eucalyptus diversifolia subsp. hesperia,yes
Eucalyptus dives,yes
Eucalyptus dolichocera,yes
Eucalyptus dolichorhyncha,yes
Eucalyptus dolorosa,yes
Eucalyptus doratoxylon,yes
Eucalyptus dorrienii,yes
Eucalyptus dorrigoensis,yes
Eucalyptus drummondii,yes
Eucalyptus dumosa,yes
Eucalyptus dundasii,yes
Eucalyptus dunnii,yes
Eucalyptus dura,yes
Eucalyptus dwyeri,yes
Eucalyptus ebbanoensis subsp. ebbanoensis,yes
Eucalyptus ebbanoensis subsp. photina,yes
Eucalyptus ecostata,yes
Eucalyptus effusa,yes
Eucalyptus elaeophloia,yes
Eucalyptus elata,yes
Eucalyptus elliptica,yes
Eucalyptus erectifolia,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eremicola subsp. peeneri,yes
Eucalyptus eremophila,yes
Eucalyptus erythrandra,yes
Eucalyptus erythrocorys,yes
Eucalyptus erythronema subsp. erythronema,yes
Eucalyptus erythronema subsp. inornata,yes
Eucalyptus eudesmioides subsp. eudesmioides,yes
Eucalyptus eudesmioides subsp. Pallida,yes
Eucalyptus exigua,yes
Eucalyptus exilis,yes
Eucalyptus exserta,yes
Eucalyptus extensa,yes
Eucalyptus extrica,yes
Eucalyptus falcata,yes
Eucalyptus famelica,yes
Eucalyptus fasciculosa,yes
Eucalyptus fastigata,yes
Eucalyptus flavida,yes
Eucalyptus flindersii,yes
Eucalyptus flocktoniae subsp. flocktoniae,yes
Eucalyptus flocktoniae subsp. hebes,yes
Eucalyptus foecunda,yes
Eucalyptus foliosa,yes
Eucalyptus formanii,yes
Eucalyptus forrestiana,yes
