"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"1","Angophora bakeri","Angophora bakeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Angophora bakeri subsp. bakeri","Angophora bakeri","Angophora bakeri subsp. bakeri","branches rough, no ribbons in branches, wholly rough, rough bark box type",NA,NA,NA,NA,NA,NA,NA,NA
"3","Angophora bakeri subsp. crassifolia","Angophora crassifolia","Angophora bakeri subsp. crassifolia","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"4","Angophora bakeri subsp. paludosa","Angophora paludosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Angophora costata","Angophora costata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angophora costata subsp. costata","Angophora costata","Angophora costata subsp. costata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"7","Angophora costata subsp. euryphylla","Angophora euryphylla","Angophora costata subsp. euryphylla","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"8","Angophora costata subsp. leiocarpa","Angophora leiocarpa","Angophora costata subsp. leiocarpa","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"9","Angophora crassifolia","Angophora crassifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Angophora euryphylla","Angophora euryphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Angophora exul","Angophora exul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Angophora floribunda","Angophora floribunda","Angophora floribunda","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"13","Angophora floribunda x paludosa","Angophora floribunda x paludosa","Angophora floribunda","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"14","Angophora hispida","Angophora hispida","Angophora hispida","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"15","Angophora inopina","Angophora inopina","Angophora inopina","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"16","Angophora leiocarpa","Angophora leiocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"18","Angophora paludosa","Angophora paludosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Angophora robur","Angophora robur","Angophora robur","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"20","Angophora robur x subvelutina","Angophora robur x subvelutina","Angophora robur","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"21","Angophora spp.","Angophora spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"23","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","branches rough, no ribbons in branches, fibrous, wholly rough, rough bark box type","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"24","Corymbia citriodora","Corymbia citriodora","Corymbia citriodora","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
