"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Angophora bakeri","Angophora bakeri","Angophora bakeri","Angophora bakeri subsp. bakeri",NA
"Angophora bakeri","Angophora bakeri","Angophora bakeri subsp. bakeri","Angophora bakeri subsp. bakeri",NA
"Angophora costata","Angophora costata","Angophora costata","Angophora costata subsp. costata",NA
"Angophora costata","Angophora costata","Angophora costata subsp. costata","Angophora costata subsp. costata",NA
"Angophora bakeri subsp. crassifolia","Angophora crassifolia","Angophora bakeri subsp. crassifolia","Angophora bakeri subsp. crassifolia",NA
"Angophora bakeri subsp. crassifolia","Angophora crassifolia","Angophora crassifolia","Angophora bakeri subsp. crassifolia",NA
"Angophora costata subsp. euryphylla","Angophora euryphylla","Angophora costata subsp. euryphylla","Angophora costata subsp. euryphylla",NA
"Angophora costata subsp. euryphylla","Angophora euryphylla","Angophora euryphylla","Angophora costata subsp. euryphylla",NA
"Angophora bakeri subsp. bakeri","Angophora exul","Angophora exul","Angophora bakeri subsp. bakeri",NA
"Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda",NA
"","Angophora floribunda x paludosa","Angophora floribunda x paludosa","No match",NA
"Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida",NA
"Angophora inopina","Angophora inopina","Angophora inopina","Angophora inopina",NA
"Angophora leiocarpa","Angophora leiocarpa","Angophora costata subsp. leiocarpa","Angophora costata subsp. leiocarpa",NA
"Angophora leiocarpa","Angophora leiocarpa","Angophora leiocarpa","Angophora costata subsp. leiocarpa",NA
"Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon",NA
"Angophora bakeri subsp. bakeri ","Angophora paludosa","Angophora bakeri subsp. paludosa","Eucalyptus ovata subsp. ovata",NA
"Angophora bakeri subsp. bakeri ","Angophora paludosa","Angophora paludosa","Eucalyptus ovata subsp. ovata",NA
"Angophora robur","Angophora robur","Angophora robur","Angophora robur",NA
"","Angophora robur x subvelutina","Angophora robur x subvelutina","No match",NA
"Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina",NA
"Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana",NA
"Corymbia citriodora","Corymbia citriodora","Corymbia citriodora","Corymbia citriodora",NA
"Corymbia citriodora","Corymbia citriodora","Corymbia citriodora subsp. variegata","Corymbia citriodora",NA
"Corymbia clarksoniana","Corymbia dolichocarpa","Corymbia dolichocarpa","Corymbia clarksoniana",NA
"Corymbia clarksoniana","Corymbia dolichocarpa","Eucalyptus dolichocarpa","Corymbia clarksoniana",NA
"Corymbia clarksoniana","Corymbia dolichocarpa","Eucalyptus polycarpa","Corymbia clarksoniana",NA
"Corymbia eximia","Corymbia eximia","Corymbia eximia","Corymbia eximia",NA
"Corymbia eximia","Corymbia eximia","Eucalyptus eximia","Corymbia eximia",NA
"Corymbia gummifera","Corymbia gummifera","Corymbia gummifera","Corymbia gummifera",NA
"Corymbia gummifera","Corymbia gummifera","Eucalyptus gummifera","Corymbia gummifera",NA
"Corymbia henryi","Corymbia henryi","Corymbia henryi","Corymbia henryi",NA
"Corymbia henryi","Corymbia henryi","Eucalyptus henryi","Corymbia henryi",NA
"Corymbia intermedia","Corymbia intermedia","Corymbia intermedia","Corymbia intermedia",NA
"Corymbia intermedia","Corymbia intermedia","Eucalyptus intermedia","Corymbia intermedia",NA
"Corymbia maculata","Corymbia maculata","Corymbia maculata","Corymbia maculata",NA
"Corymbia maculata","Corymbia maculata","Eucalyptus maculata","Corymbia maculata",NA
"","Corymbia maculata <--> variegata intergrade","Corymbia maculata <--> variegata intergrade","No match",NA
"Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris",NA
"Corymbia tessellaris","Corymbia tessellaris","Eucalyptus tessellaris","Corymbia tessellaris",NA
"Corymbia torelliana","Corymbia torelliana","Corymbia torelliana","Corymbia torelliana",NA
"Corymbia torelliana","Corymbia torelliana","Eucalyptus torelliana","Corymbia torelliana",NA
"Corymbia trachyphloia","Corymbia trachyphloia","Corymbia trachyphloia","Corymbia trachyphloia",NA
"Corymbia trachyphloia","Corymbia trachyphloia subsp. amphistomatica","Corymbia trachyphloia subsp. amphistomatica","Corymbia trachyphloia",NA
"Corymbia trachyphloia","Corymbia trachyphloia subsp. trachyphloia","Corymbia trachyphloia subsp. trachyphloia","Corymbia trachyphloia",NA
"Corymbia terminalis","Corymbia tumescens","Corymbia tumescens","Corymbia terminalis",NA
"Corymbia terminalis","Corymbia tumescens","Eucalyptus opaca","Corymbia terminalis",NA
"Corymbia terminalis","Corymbia tumescens","Eucalyptus terminalis","Corymbia terminalis",NA
"Corymbia citriodora","Corymbia variegata","Corymbia variegata","Corymbia citriodora",NA
"Eucalyptus acaciiformis","Eucalyptus acaciiformis","Eucalyptus acaciiformis","Eucalyptus acaciiformis",NA
"Eucalyptus acmenoides","Eucalyptus acmenoides","Eucalyptus acmenioides","Eucalyptus acmenoides",NA
"Eucalyptus acmenoides","Eucalyptus acmenoides","Eucalyptus acmenoides","Eucalyptus acmenoides",NA
"Eucalyptus viridis","Eucalyptus aenea","Eucalyptus aenea","Eucalyptus viridis",NA
"Eucalyptus agglomerata","Eucalyptus agglomerata","Eucalyptus agglomerata","Eucalyptus agglomerata",NA
"Eucalyptus aggregata","Eucalyptus aggregata","Eucalyptus aggregata","Eucalyptus aggregata",NA
"Eucalyptus albens","Eucalyptus albens","Eucalyptus albens","Eucalyptus albens",NA
"","Eucalyptus albens <--> moluccana","Eucalyptus albens <--> moluccana","No match",NA
"","Eucalyptus albens <--> moluccana","Eucalyptus albens x moluccana","No match",NA
