"","species","matched_assigned","matched_unassigned"
"1","Angophora bakeri subsp. bakeri",NA,"TRUE"
"2","Angophora bakeri subsp. crassifolia",NA,"TRUE"
"3","Angophora costata subsp. costata",NA,"TRUE"
"4","Angophora costata subsp. euryphylla",NA,"TRUE"
"5","Angophora costata subsp. leiocarpa",NA,"TRUE"
"6","Angophora floribunda","TRUE",NA
"7","Angophora hispida","TRUE",NA
"8","Angophora inopina","TRUE",NA
"9","Angophora melanoxylon","TRUE",NA
"10","Angophora robur","TRUE",NA
"11","Angophora subvelutina","TRUE",NA
"12","Angophora woodsiana","TRUE",NA
"13","Corymbia abbreviata",NA,NA
"14","Corymbia abergiana",NA,NA
"15","Corymbia aparrerinja",NA,NA
"16","Corymbia arafurica",NA,NA
"17","Corymbia arenaria",NA,NA
"18","Corymbia arnhemensis",NA,NA
"19","Corymbia aspera",NA,NA
"20","Corymbia aureola",NA,NA
"21","Corymbia bella",NA,NA
"22","Corymbia blakei",NA,NA
"23","Corymbia bleeseri",NA,NA
"24","Corymbia bloxsomei",NA,NA
"25","Corymbia brachycarpa",NA,NA
"26","Corymbia bunites",NA,NA
"27","Corymbia cadophora subsp. cadophora",NA,NA
"28","Corymbia cadophora subsp. pliantha",NA,NA
"29","Corymbia cadophora subsp. polychroma",NA,NA
"30","Corymbia calophylla",NA,NA
"31","Corymbia candida",NA,NA
"32","Corymbia chartacea",NA,NA
"33","Corymbia chippendalei",NA,NA
"34","Corymbia citriodora","TRUE",NA
"35","Corymbia clandestina",NA,NA
"36","Corymbia clarksoniana",NA,NA
"37","Corymbia clavigera",NA,NA
"38","Corymbia cliftoniana",NA,NA
"39","Corymbia collina",NA,NA
"40","Corymbia confertiflora",NA,NA
"41","Corymbia dallachiana",NA,NA
"42","Corymbia dendromerinx",NA,NA
"43","Corymbia deserticola subsp. deserticola",NA,NA
"44","Corymbia deserticola subsp. mesogeotica",NA,NA
"45","Corymbia dichromophloia",NA,NA
"46","Corymbia disjuncta",NA,NA
"47","Corymbia dunlopiana",NA,NA
"48","Corymbia ellipsoidea",NA,NA
"49","Corymbia eremaea",NA,NA
"50","Corymbia erythrophloia",NA,NA
"51","Corymbia eximia","TRUE",NA
"52","Corymbia ferriticola",NA,NA
"53","Corymbia ferruginea subsp. ferruginea",NA,NA
"54","Corymbia ferruginea subsp. stypophylla",NA,NA
"55","Corymbia ficifolia",NA,NA
"56","Corymbia flavescens",NA,NA
"57","Corymbia foelscheana",NA,NA
"58","Corymbia gilbertensis",NA,NA
"59","Corymbia grandifolia subsp. grandifolia",NA,NA
"60","Corymbia grandifolia subsp. lamprocardia",NA,NA
"61","Corymbia grandifolia subsp. longa",NA,NA
"62","Corymbia greeniana",NA,NA
"63","Corymbia gummifera","TRUE",NA
"64","Corymbia haematoxylon",NA,NA
"65","Corymbia hamersleyana",NA,NA
"66","Corymbia hendersonii",NA,NA
"67","Corymbia henryi","TRUE",NA
"68","Corymbia hylandii",NA,NA
"69","Corymbia intermedia","TRUE",NA
"70","Corymbia jacobsiana",NA,NA
"71","Corymbia kombolgiensis",NA,NA
"72","Corymbia lamprophylla",NA,NA
"73","Corymbia latifolia",NA,NA
"74","Corymbia leichhardtii",NA,NA
"75","Corymbia lenziana",NA,NA
"76","Corymbia leptoloma",NA,NA
"77","Corymbia ligans",NA,NA
"78","Corymbia maculata","TRUE",NA
"79","Corymbia nesophila",NA,NA
"80","Corymbia novoguinensis",NA,NA
"81","Corymbia oocarpa",NA,NA
"82","Corymbia pachycarpa",NA,NA
"83","Corymbia papillosa",NA,NA
"84","Corymbia papuana",NA,NA
"85","Corymbia paractia",NA,NA
"86","Corymbia pauciseta",NA,NA
"87","Corymbia peltata",NA,NA
"88","Corymbia petalophylla",NA,NA
"89","Corymbia plena",NA,NA
"90","Corymbia pocillum",NA,NA
"91","Corymbia polycarpa",NA,NA
"92","Corymbia polysciada",NA,NA
"93","Corymbia porrecta",NA,NA
"94","Corymbia ptychocarpa subsp. aptycha",NA,NA
"95","Corymbia ptychocarpa subsp. ptychocarpa",NA,NA
"96","Corymbia rhodops",NA,NA
"97","Corymbia scabrida",NA,NA
"98","Corymbia serendipita",NA,NA
"99","Corymbia setosa",NA,NA
"100","Corymbia sphaerica",NA,NA
"101","Corymbia stockeri subsp. peninsularis",NA,NA
"102","Corymbia stockeri subsp. stockeri",NA,NA
"103","Corymbia terminalis",NA,NA
"104","Corymbia tessellaris","TRUE",NA
"105","Corymbia torelliana","TRUE",NA
"106","Corymbia torta",NA,NA
"107","Corymbia trachyphloia","TRUE",NA
"108","Corymbia umbonata",NA,NA
"109","Corymbia watsoniana subsp. capillata",NA,NA
"110","Corymbia watsoniana subsp. watsoniana",NA,NA
"111","Corymbia xanthope",NA,NA
"112","Corymbia zygophylla",NA,NA
"113","Eucalyptus abdita",NA,NA
"114","Eucalyptus absita",NA,NA
"115","Eucalyptus acaciiformis","TRUE",NA
"116","Eucalyptus accedens",NA,NA
"117","Eucalyptus acies",NA,NA
"118","Eucalyptus acmenoides","TRUE",NA
"119","Eucalyptus acroleuca",NA,NA
"120","Eucalyptus adesmophloia",NA,NA
"121","Eucalyptus aequioperta",NA,NA
"122","Eucalyptus agglomerata","TRUE",NA
"123","Eucalyptus aggregata","TRUE",NA
"124","Eucalyptus alba var. australasica",NA,NA
"125","Eucalyptus albens","TRUE",NA
"126","Eucalyptus albida",NA,NA
"127","Eucalyptus albopurpurea",NA,NA
"128","Eucalyptus alipes",NA,NA
"129","Eucalyptus alligatrix subsp. alligatrix",NA,NA
"130","Eucalyptus alligatrix subsp. limaensis",NA,NA
"131","Eucalyptus alligatrix subsp. miscella",NA,NA
"132","Eucalyptus ammophila",NA,NA
"133","Eucalyptus amplifolia subsp. amplifolia","TRUE",NA
"134","Eucalyptus amplifolia subsp. sessiliflora","TRUE",NA
"135","Eucalyptus amygdalina",NA,NA
"136","Eucalyptus ancophila","TRUE",NA
"137","Eucalyptus andrewsii subsp. andrewsii",NA,"TRUE"
"138","Eucalyptus andrewsii subsp. campanulata",NA,"TRUE"
"139","Eucalyptus angophoroides","TRUE",NA
"140","Eucalyptus angularis",NA,NA
"141","Eucalyptus angulosa",NA,NA
"142","Eucalyptus angustissima",NA,NA
"143","Eucalyptus annettae",NA,NA
"144","Eucalyptus annulata",NA,NA
"145","Eucalyptus annuliformis",NA,NA
"146","Eucalyptus apiculata","TRUE",NA
"147","Eucalyptus apodophylla",NA,NA
"148","Eucalyptus apothalassica","TRUE",NA
"149","Eucalyptus approximans subsp. approximans",NA,NA
"150","Eucalyptus approximans subsp. codonocarpa",NA,NA
"151","Eucalyptus aquilina",NA,NA
"152","Eucalyptus arachnaea subsp. arachnaea",NA,NA
"153","Eucalyptus arachnaea subsp. arrecta",NA,NA
"154","Eucalyptus arborella",NA,NA
"155","Eucalyptus archeri",NA,NA
"156","Eucalyptus arenacea",NA,NA
"157","Eucalyptus arenicola",NA,NA
"158","Eucalyptus argillacea",NA,NA
"159","Eucalyptus argophloia",NA,NA
"160","Eucalyptus argutifolia",NA,NA
"161","Eucalyptus aridimontana",NA,NA
"162","Eucalyptus armillata",NA,NA
"163","Eucalyptus aromaphloia subsp. aromaphloia",NA,NA
"164","Eucalyptus aromaphloia subsp. sabulosa",NA,NA
"165","Eucalyptus articulata",NA,NA
"166","Eucalyptus aspersa",NA,NA
"167","Eucalyptus aspratilis",NA,NA
"168","Eucalyptus astringens subsp. astringens",NA,NA
"169","Eucalyptus astringens subsp. redacta",NA,NA
"170","Eucalyptus atrata",NA,NA
"171","Eucalyptus aurifodina",NA,NA
"172","Eucalyptus badjensis","TRUE",NA
"173","Eucalyptus baeuerlenii","TRUE",NA
"174","Eucalyptus baileyana","TRUE",NA
"175","Eucalyptus baiophylla",NA,NA
"176","Eucalyptus bakeri","TRUE",NA
"177","Eucalyptus balladoniensis subsp. balladoniensis",NA,NA
"178","Eucalyptus balladoniensis subsp. sedens",NA,NA
"179","Eucalyptus bancroftii","TRUE",NA
"180","Eucalyptus banksii","TRUE",NA
"181","Eucalyptus barberi",NA,NA
"182","Eucalyptus baudiniana",NA,NA
"183","Eucalyptus baueriana","TRUE",NA
"184","Eucalyptus baxteri","TRUE",NA
"185","Eucalyptus beaniana",NA,NA
"186","Eucalyptus beardiana",NA,NA
"187","Eucalyptus behriana","TRUE",NA
"188","Eucalyptus bensonii","TRUE",NA
"189","Eucalyptus benthamii","TRUE",NA
"190","Eucalyptus beyeri","TRUE",NA
"191","Eucalyptus bigalerita",NA,NA
"192","Eucalyptus blakelyi","TRUE",NA
"193","Eucalyptus blaxellii",NA,NA
"194","Eucalyptus blaxlandii","TRUE",NA
"195","Eucalyptus boliviana","TRUE",NA
"196","Eucalyptus bosistoana","TRUE",NA
"197","Eucalyptus botryoides","TRUE",NA
"198","Eucalyptus brachyandra",NA,NA
"199","Eucalyptus brachycalyx",NA,NA
"200","Eucalyptus brachyphylla",NA,NA
"201","Eucalyptus brandiana",NA,NA
"202","Eucalyptus brassiana",NA,NA
"203","Eucalyptus brevifolia",NA,NA
"204","Eucalyptus brevipes",NA,NA
"205","Eucalyptus brevistylis",NA,NA
"206","Eucalyptus bridgesiana","TRUE",NA
"207","Eucalyptus brockwayi",NA,NA
"208","Eucalyptus brookeriana",NA,NA
"209","Eucalyptus broviniensis",NA,NA
"210","Eucalyptus brownii",NA,NA
"211","Eucalyptus buprestium",NA,NA
"212","Eucalyptus burdettiana",NA,NA
"213","Eucalyptus burgessiana","TRUE",NA
"214","Eucalyptus burracoppinensis",NA,NA
"215","Eucalyptus cadens",NA,NA
"216","Eucalyptus caesia subsp. caesia",NA,NA
"217","Eucalyptus caesia subsp. magna",NA,NA
"218","Eucalyptus calcareana",NA,NA
"219","Eucalyptus calcicola subsp. calcicola",NA,NA
"220","Eucalyptus calcicola subsp. unita",NA,NA
"221","Eucalyptus caleyi subsp. caleyi","TRUE",NA
"222","Eucalyptus caleyi subsp. ovendenii","TRUE",NA
"223","Eucalyptus caliginosa","TRUE",NA
"224","Eucalyptus calycogona subsp. calycogona",NA,NA
"225","Eucalyptus calycogona subsp. miraculum",NA,NA
"226","Eucalyptus calycogona subsp. spaffordii",NA,NA
"227","Eucalyptus calycogona subsp. trachybasis",NA,NA
"228","Eucalyptus calyerup",NA,NA
"229","Eucalyptus camaldulensis subsp. acuta",NA,NA
"230","Eucalyptus camaldulensis subsp. arida",NA,NA
"231","Eucalyptus camaldulensis subsp. camaldulensis",NA,"TRUE"
"232","Eucalyptus camaldulensis subsp. minima",NA,NA
"233","Eucalyptus camaldulensis subsp. obtusa",NA,NA
"234","Eucalyptus camaldulensis subsp. refulgens",NA,NA
"235","Eucalyptus camaldulensis subsp. simulata",NA,NA
"236","Eucalyptus cambageana",NA,NA
"237","Eucalyptus cameronii","TRUE",NA
"238","Eucalyptus camfieldii","TRUE",NA
"239","Eucalyptus campaspe",NA,NA
"240","Eucalyptus camphora subsp. camphora","TRUE",NA
"241","Eucalyptus camphora subsp. humeana","TRUE",NA
"242","Eucalyptus canaliculata","TRUE",NA
"243","Eucalyptus canescens subsp. beadellii",NA,NA
"244","Eucalyptus canescens subsp. canescens",NA,NA
"245","Eucalyptus canobolensis","TRUE",NA
"246","Eucalyptus capillosa subsp. capillosa",NA,NA
"247","Eucalyptus capillosa subsp. polyclada",NA,NA
"248","Eucalyptus capitellata","TRUE",NA
"249","Eucalyptus captiosa",NA,NA
"250","Eucalyptus carnabyi",NA,NA
"251","Eucalyptus carnea","TRUE",NA
"252","Eucalyptus carnei",NA,NA
"253","Eucalyptus celastroides subsp. celastroides",NA,NA
"254","Eucalyptus celastroides subsp. virella",NA,NA
"255","Eucalyptus cephalocarpa",NA,NA
"256","Eucalyptus ceracea",NA,NA
"257","Eucalyptus cerasiformis",NA,NA
"258","Eucalyptus ceratocorys",NA,NA
"259","Eucalyptus cernua",NA,NA
"260","Eucalyptus chapmaniana","TRUE",NA
"261","Eucalyptus chartaboma",NA,NA
"262","Eucalyptus chloroclada","TRUE",NA
"263","Eucalyptus chlorophylla",NA,NA
"264","Eucalyptus cinerea subsp. cinerea",NA,NA
"265","Eucalyptus cinerea subsp. triplex",NA,NA
"266","Eucalyptus cladocalyx","TRUE",NA
"267","Eucalyptus clelandii",NA,NA
"268","Eucalyptus clivicola",NA,NA
"269","Eucalyptus cloeziana",NA,NA
"270","Eucalyptus cneorifolia",NA,NA
"271","Eucalyptus coccifera",NA,NA
"272","Eucalyptus comitae-vallis",NA,NA
"273","Eucalyptus concinna",NA,NA
"274","Eucalyptus conferruminata subsp. conferruminata",NA,NA
"275","Eucalyptus conferruminata subsp. recherche",NA,NA
"276","Eucalyptus confluens",NA,NA
"277","Eucalyptus conglobata subsp. conglobata",NA,NA
"278","Eucalyptus conglobata subsp. perata",NA,NA
"279","Eucalyptus conglomerata",NA,NA
"280","Eucalyptus conica","TRUE",NA
"281","Eucalyptus consideniana","TRUE",NA
"282","Eucalyptus conspicua subsp. conspicua",NA,NA
"283","Eucalyptus conspicua subsp. dispar",NA,NA
"284","Eucalyptus conveniens",NA,NA
"285","Eucalyptus coolabah","TRUE",NA
"286","Eucalyptus cooperiana",NA,NA
"287","Eucalyptus cordata subsp. cordata",NA,NA
"288","Eucalyptus cordata subsp. quadrangulosa",NA,NA
"289","Eucalyptus cornuta",NA,NA
"290","Eucalyptus coronata",NA,NA
"291","Eucalyptus corrugata",NA,NA
"292","Eucalyptus corticosa","TRUE",NA
"293","Eucalyptus corynodes",NA,NA
"294","Eucalyptus cosmophylla",NA,NA
"295","Eucalyptus crebra","TRUE",NA
"296","Eucalyptus crenulata","TRUE",NA
"297","Eucalyptus creta",NA,NA
"298","Eucalyptus cretata",NA,NA
"299","Eucalyptus crispata",NA,NA
