species,bark
Angophora bakeri subsp. bakeri,no ribbons in upper branches
Angophora bakeri subsp. crassifolia,no ribbons in upper branches
Angophora costata subsp. costata,no ribbons in upper branches
Angophora costata subsp. euryphylla,no ribbons in upper branches
Angophora costata subsp. leiocarpa,no ribbons in upper branches
Angophora floribunda,no ribbons in upper branches
Angophora hispida,no ribbons in upper branches
Angophora inopina,no ribbons in upper branches
Angophora melanoxylon,no ribbons in upper branches
Angophora robur,no ribbons in upper branches
Angophora subvelutina,no ribbons in upper branches
Angophora woodsiana,no ribbons in upper branches
Corymbia abbreviata,no ribbons in upper branches
Corymbia abergiana,no ribbons in upper branches
Corymbia aparrerinja,no ribbons in upper branches
Corymbia arafurica,no ribbons in upper branches
Corymbia arenaria,no ribbons in upper branches
Corymbia arnhemensis,no ribbons in upper branches
Corymbia aspera,no ribbons in upper branches
Corymbia aureola,no ribbons in upper branches
Corymbia bella,no ribbons in upper branches
Corymbia blakei,no ribbons in upper branches
Corymbia bleeseri,no ribbons in upper branches
Corymbia bloxsomei,no ribbons in upper branches
Corymbia brachycarpa,no ribbons in upper branches
Corymbia bunites,no ribbons in upper branches
Corymbia cadophora subsp. cadophora,no ribbons in upper branches
Corymbia cadophora subsp. pliantha,no ribbons in upper branches
Corymbia calophylla,no ribbons in upper branches
Corymbia candida,no ribbons in upper branches
Corymbia chartacea,no ribbons in upper branches
Corymbia chippendalei,no ribbons in upper branches
Corymbia citriodora,no ribbons in upper branches
Corymbia clandestina,no ribbons in upper branches
Corymbia clarksoniana,no ribbons in upper branches
Corymbia clavigera,no ribbons in upper branches
Corymbia cliftoniana,no ribbons in upper branches
Corymbia collina,no ribbons in upper branches
Corymbia confertiflora,no ribbons in upper branches
Corymbia dallachiana,no ribbons in upper branches
Corymbia dendromerinx,no ribbons in upper branches
Corymbia deserticola subsp. deserticola,no ribbons in upper branches
Corymbia deserticola subsp. mesogeotica,no ribbons in upper branches
Corymbia dichromophloia,no ribbons in upper branches
Corymbia disjuncta,no ribbons in upper branches
Corymbia dunlopiana,no ribbons in upper branches
Corymbia ellipsoidea,no ribbons in upper branches
Corymbia eremaea,no ribbons in upper branches
Corymbia erythrophloia,no ribbons in upper branches
Corymbia eximia,no ribbons in upper branches
Corymbia ferriticola,no ribbons in upper branches
Corymbia ferruginea subsp. ferruginea,no ribbons in upper branches
Corymbia ferruginea subsp. stypophylla,no ribbons in upper branches
Corymbia ficifolia,no ribbons in upper branches
Corymbia flavescens,no ribbons in upper branches
Corymbia foelscheana,no ribbons in upper branches
Corymbia gilbertensis,no ribbons in upper branches
Corymbia grandifolia subsp. grandifolia,no ribbons in upper branches
Corymbia grandifolia subsp. lamprocardia,no ribbons in upper branches
Corymbia grandifolia subsp. longa,no ribbons in upper branches
Corymbia greeniana,no ribbons in upper branches
Corymbia gummifera,no ribbons in upper branches
Corymbia haematoxylon,no ribbons in upper branches
Corymbia hamersleyana,no ribbons in upper branches
Corymbia hendersonii,no ribbons in upper branches
Corymbia henryi,no ribbons in upper branches
Corymbia hylandii,no ribbons in upper branches
Corymbia intermedia,no ribbons in upper branches
Corymbia jacobsiana,no ribbons in upper branches
Corymbia kombolgiensis,no ribbons in upper branches
Corymbia lamprophylla,no ribbons in upper branches
Corymbia latifolia,no ribbons in upper branches
Corymbia leichhardtii,no ribbons in upper branches
Corymbia lenziana,no ribbons in upper branches
Corymbia leptoloma,no ribbons in upper branches
Corymbia ligans,no ribbons in upper branches
Corymbia maculata,no ribbons in upper branches
Corymbia nesophila,no ribbons in upper branches
Corymbia novoguinensis,no ribbons in upper branches
Corymbia oocarpa,no ribbons in upper branches
Corymbia pachycarpa,no ribbons in upper branches
Corymbia papillosa,no ribbons in upper branches
Corymbia papuana,no ribbons in upper branches
Corymbia paractia,no ribbons in upper branches
