species,bark
Corymbia arafurica,partly rough
Corymbia arnhemensis,partly rough
Corymbia aspera,partly rough
Corymbia bella,partly rough
Corymbia blakei,partly rough
Corymbia bleeseri,partly rough
Corymbia chippendalei,partly rough
Corymbia clavigera,partly rough
Corymbia collina,partly rough
Corymbia confertiflora,partly rough
Corymbia dallachiana,partly rough
Corymbia dendromerinx,partly rough
Corymbia dichromophloia,partly rough
Corymbia disjuncta,partly rough
Corymbia eremaea,partly rough
Corymbia ferriticola,partly rough
Corymbia foelscheana,partly rough
Corymbia gilbertensis,partly rough
Corymbia greeniana,partly rough
Corymbia hamersleyana,partly rough
Corymbia kombolgiensis,partly rough
Corymbia latifolia,partly rough
Corymbia lenziana,partly rough
Corymbia oocarpa,partly rough
Corymbia papuana,partly rough
Corymbia paractia,partly rough
Corymbia pauciseta,partly rough
Corymbia pocillum,partly rough
Corymbia polysciada,partly rough
Corymbia serendipita,partly rough
Corymbia stockeri subsp. peninsularis,partly rough
Corymbia terminalis,partly rough
Corymbia tessellaris,partly rough
Corymbia torelliana,partly rough
Corymbia torta,partly rough
Eucalyptus absita,partly rough
Eucalyptus acroleuca,partly rough
Eucalyptus adesmophloia,partly rough
Eucalyptus aequioperta,partly rough
Eucalyptus albens,partly rough
Eucalyptus albopurpurea,partly rough
Eucalyptus ammophila,partly rough
Eucalyptus amplifolia subsp. amplifolia,partly rough
Eucalyptus amplifolia subsp. sessiliflora,partly rough
Eucalyptus amygdalina,partly rough
Eucalyptus angularis,partly rough
Eucalyptus angulosa,partly rough
Eucalyptus annettae,partly rough
Eucalyptus arachnaea subsp. arachnaea,partly rough
Eucalyptus arachnaea subsp. arrecta,partly rough
Eucalyptus aridimontana,partly rough
Eucalyptus aspersa,partly rough
Eucalyptus aspratilis,partly rough
Eucalyptus astringens subsp. astringens,partly rough
Eucalyptus badjensis,partly rough
Eucalyptus baiophylla,partly rough
Eucalyptus bakeri,partly rough
Eucalyptus balladoniensis subsp. balladoniensis,partly rough
Eucalyptus balladoniensis subsp. sedens,partly rough
Eucalyptus barberi,partly rough
Eucalyptus baudiniana,partly rough
Eucalyptus behriana,partly rough
Eucalyptus bensonii,partly rough
Eucalyptus benthamii,partly rough
Eucalyptus blakelyi,partly rough
Eucalyptus blaxellii,partly rough
Eucalyptus bosistoana,partly rough
Eucalyptus botryoides,partly rough
Eucalyptus brachycalyx,partly rough
Eucalyptus brachyphylla,partly rough
Eucalyptus brassiana,partly rough
Eucalyptus brevipes,partly rough
Eucalyptus brookeriana,partly rough
Eucalyptus burracoppinensis,partly rough
Eucalyptus cadens,partly rough
Eucalyptus calcareana,partly rough
Eucalyptus calycogona subsp. spaffordii,partly rough
Eucalyptus calycogona subsp. trachybasis,partly rough
Eucalyptus calyerup,partly rough
Eucalyptus camaldulensis subsp. camaldulensis,partly rough
Eucalyptus cambageana,partly rough
Eucalyptus camphora subsp. camphora,partly rough
Eucalyptus camphora subsp. humeana,partly rough
Eucalyptus canescens subsp. beadellii,partly rough
Eucalyptus canescens subsp. canescens,partly rough
Eucalyptus canobolensis,partly rough
Eucalyptus captiosa,partly rough
Eucalyptus carnei,partly rough
Eucalyptus celastroides subsp. celastroides,partly rough
Eucalyptus celastroides subsp. virella,partly rough
Eucalyptus ceratocorys,partly rough
Eucalyptus chapmaniana,partly rough
Eucalyptus chartaboma,partly rough
Eucalyptus chloroclada,partly rough
Eucalyptus clelandii,partly rough
Eucalyptus clivicola,partly rough
Eucalyptus cloeziana,partly rough
Eucalyptus cneorifolia,partly rough
Eucalyptus coccifera,partly rough
Eucalyptus comitae-vallis,partly rough
Eucalyptus concinna,partly rough
Eucalyptus consideniana,partly rough
Eucalyptus conspicua subsp. conspicua,partly rough
Eucalyptus conveniens,partly rough
Eucalyptus coolabah,partly rough
Eucalyptus cooperiana,partly rough
Eucalyptus cordata subsp. quadrangulosa,partly rough
Eucalyptus cornuta,partly rough
Eucalyptus corrugata,partly rough
Eucalyptus cosmophylla,partly rough
Eucalyptus crenulata,partly rough
Eucalyptus cretata,partly rough
Eucalyptus crispata,partly rough
Eucalyptus croajingolensis,partly rough
Eucalyptus cuprea,partly rough
Eucalyptus cyanophylla,partly rough
Eucalyptus cylindrocarpa,partly rough
Eucalyptus cypellocarpa,partly rough
Eucalyptus dalrympleana subsp. dalrympleana,partly rough
Eucalyptus dalrympleana subsp. heptantha,partly rough
Eucalyptus dawsonii,partly rough
Eucalyptus dealbata,partly rough
Eucalyptus deanei,partly rough
Eucalyptus delegatensis subsp. delegatensis,partly rough
Eucalyptus delegatensis subsp. tasmaniensis,partly rough
Eucalyptus delicata,partly rough
Eucalyptus dendromorpha,partly rough
Eucalyptus denticulata,partly rough
Eucalyptus diminuta,partly rough
Eucalyptus discreta,partly rough
Eucalyptus diversifolia subsp. hesperia,partly rough
Eucalyptus dolichocera,partly rough
Eucalyptus dolorosa,partly rough
Eucalyptus doratoxylon,partly rough
Eucalyptus dorrigoensis,partly rough
Eucalyptus dumosa,partly rough
Eucalyptus dundasii,partly rough
Eucalyptus dunnii,partly rough
Eucalyptus dwyeri,partly rough
Eucalyptus ebbanoensis subsp. ebbanoensis,partly rough
Eucalyptus ebbanoensis subsp. photina,partly rough
Eucalyptus effusa,partly rough
Eucalyptus elaeophloia,partly rough
Eucalyptus elata,partly rough
Eucalyptus eremicola subsp. eremicola,partly rough
Eucalyptus eremicola subsp. peeneri,partly rough
Eucalyptus erythrandra,partly rough
Eucalyptus erythrocorys,partly rough
Eucalyptus eudesmioides subsp. eudesmioides,partly rough
Eucalyptus eudesmioides subsp. Pallida,partly rough
Eucalyptus ewartiana,partly rough
Eucalyptus extrica,partly rough
Eucalyptus famelica,partly rough
Eucalyptus fasciculosa,partly rough
Eucalyptus fastigata,partly rough
