species,bark
Corymbia arafurica,rough bark loose basal slabs
Corymbia papuana,rough bark loose basal slabs
Eucalyptus adesmophloia,rough bark loose basal slabs
Eucalyptus albopurpurea,rough bark loose basal slabs
Eucalyptus amplifolia subsp. amplifolia,rough bark loose basal slabs
Eucalyptus amplifolia subsp. sessiliflora,rough bark loose basal slabs
Eucalyptus angularis,rough bark loose basal slabs
Eucalyptus angulosa,rough bark loose basal slabs
Eucalyptus aspratilis,rough bark loose basal slabs
Eucalyptus barberi,rough bark loose basal slabs
Eucalyptus behriana,rough bark loose basal slabs
Eucalyptus benthamii,rough bark loose basal slabs
Eucalyptus blakelyi,rough bark loose basal slabs
Eucalyptus brachycalyx,rough bark loose basal slabs
Eucalyptus brookeriana,rough bark loose basal slabs
Eucalyptus cadens,rough bark loose basal slabs
Eucalyptus calycogona subsp. spaffordii,rough bark loose basal slabs
Eucalyptus calyerup,rough bark loose basal slabs
Eucalyptus camaldulensis subsp. camaldulensis,rough bark loose basal slabs
Eucalyptus camaldulensis subsp. minima,rough bark loose basal slabs
Eucalyptus camphora subsp. camphora,rough bark loose basal slabs
Eucalyptus camphora subsp. humeana,rough bark loose basal slabs
Eucalyptus canobolensis,rough bark loose basal slabs
Eucalyptus ceratocorys,rough bark loose basal slabs
Eucalyptus coccifera,rough bark loose basal slabs
Eucalyptus concinna,rough bark loose basal slabs
Eucalyptus cordata subsp. quadrangulosa,rough bark loose basal slabs
Eucalyptus cosmophylla,rough bark loose basal slabs
Eucalyptus cretata,rough bark loose basal slabs
Eucalyptus cyanophylla,rough bark loose basal slabs
Eucalyptus cypellocarpa,rough bark loose basal slabs
Eucalyptus dalrympleana subsp. dalrympleana,rough bark loose basal slabs
Eucalyptus dalrympleana subsp. heptantha,rough bark loose basal slabs
Eucalyptus dawsonii,rough bark loose basal slabs
Eucalyptus dealbata,rough bark loose basal slabs
Eucalyptus deanei,rough bark loose basal slabs
Eucalyptus denticulata,rough bark loose basal slabs
Eucalyptus diminuta,rough bark loose basal slabs
Eucalyptus dorrigoensis,rough bark loose basal slabs
Eucalyptus dumosa,rough bark loose basal slabs
Eucalyptus dunnii,rough bark loose basal slabs
Eucalyptus dwyeri,rough bark loose basal slabs
Eucalyptus ebbanoensis subsp. photina,rough bark loose basal slabs
Eucalyptus elaeophloia,rough bark loose basal slabs
Eucalyptus elata,rough bark loose basal slabs
Eucalyptus eremicola subsp. eremicola,rough bark loose basal slabs
Eucalyptus eremicola subsp. peeneri,rough bark loose basal slabs
Eucalyptus erythrandra,rough bark loose basal slabs
Eucalyptus famelica,rough bark loose basal slabs
Eucalyptus fasciculosa,rough bark loose basal slabs
Eucalyptus flindersii,rough bark loose basal slabs
Eucalyptus fraxinoides,rough bark loose basal slabs
Eucalyptus froggattii,rough bark loose basal slabs
Eucalyptus gamophylla,rough bark loose basal slabs
Eucalyptus gillii,rough bark loose basal slabs
Eucalyptus glaucescens,rough bark loose basal slabs
Eucalyptus globulus subsp. bicostata,rough bark loose basal slabs
Eucalyptus globulus subsp. globulus,rough bark loose basal slabs
Eucalyptus globulus subsp. maidenii,rough bark loose basal slabs
Eucalyptus globulus subsp. pseudoglobulus,rough bark loose basal slabs
Eucalyptus goniocalyx subsp. exposa,rough bark loose basal slabs
Eucalyptus gracilis,rough bark loose basal slabs
Eucalyptus grandis,rough bark loose basal slabs
Eucalyptus gunnii,rough bark loose basal slabs
Eucalyptus imlayensis,rough bark loose basal slabs
Eucalyptus incrassata,rough bark loose basal slabs
Eucalyptus johnstonii,rough bark loose basal slabs
Eucalyptus kartzoffiana,rough bark loose basal slabs
Eucalyptus kingsmillii subsp. alatissima,rough bark loose basal slabs
Eucalyptus kingsmillii subsp. kingsmillii,rough bark loose basal slabs
Eucalyptus kitsoniana,rough bark loose basal slabs
Eucalyptus langleyi,rough bark loose basal slabs
Eucalyptus leucoxylon subsp. leucoxylon,rough bark loose basal slabs
Eucalyptus leucoxylon subsp. megalocarpa,rough bark loose basal slabs
Eucalyptus leucoxylon subsp. pruinosa,rough bark loose basal slabs
Eucalyptus leucoxylon subsp. stephaniae,rough bark loose basal slabs
Eucalyptus litoralis,rough bark loose basal slabs
Eucalyptus mannifera subsp. gullickii,rough bark loose basal slabs
Eucalyptus mannifera subsp. praecox,rough bark loose basal slabs
Eucalyptus melliodora,rough bark loose basal slabs
Eucalyptus misella,rough bark loose basal slabs
Eucalyptus morrisbyi,rough bark loose basal slabs
Eucalyptus multicaulis,rough bark loose basal slabs
Eucalyptus nandewarica,rough bark loose basal slabs
Eucalyptus nigrifunda,rough bark loose basal slabs
Eucalyptus nitens,rough bark loose basal slabs
Eucalyptus nobilis,rough bark loose basal slabs
Eucalyptus oleosa subsp. oleosa,rough bark loose basal slabs
Eucalyptus orbifolia,rough bark loose basal slabs
Eucalyptus oreades,rough bark loose basal slabs
Eucalyptus ovata var. grandiflora,rough bark loose basal slabs
Eucalyptus ovata var. ovata,rough bark loose basal slabs
Eucalyptus oxymitra,rough bark loose basal slabs
Eucalyptus paludicola,rough bark loose basal slabs
Eucalyptus parvula,rough bark loose basal slabs
Eucalyptus perriniana,rough bark loose basal slabs
Eucalyptus petiolaris,rough bark loose basal slabs
Eucalyptus phenax subsp. compressa,rough bark loose basal slabs
Eucalyptus polyanthemos subsp. vestita,rough bark loose basal slabs
Eucalyptus pulchella,rough bark loose basal slabs
Eucalyptus quadrans,rough bark loose basal slabs
Eucalyptus regnans,rough bark loose basal slabs
Eucalyptus rubida subsp. barbigerorum,rough bark loose basal slabs
Eucalyptus rubida subsp. rubida,rough bark loose basal slabs
Eucalyptus saligna,rough bark loose basal slabs
Eucalyptus sargentii subsp. onesia,rough bark loose basal slabs
Eucalyptus sargentii subsp. sargentii,rough bark loose basal slabs
Eucalyptus serraensis,rough bark loose basal slabs
Eucalyptus singularis,rough bark loose basal slabs
Eucalyptus socialis subsp. socialis,rough bark loose basal slabs
Eucalyptus socialis subsp. victoriensis,rough bark loose basal slabs
Eucalyptus sp. Southern Wheatbelt,rough bark loose basal slabs
Eucalyptus stellulata,rough bark loose basal slabs
Eucalyptus strzeleckii,rough bark loose basal slabs
Eucalyptus tenuiramis,rough bark loose basal slabs
Eucalyptus tereticornis subsp. basaltica,rough bark loose basal slabs
Eucalyptus tereticornis subsp. mediana,rough bark loose basal slabs
Eucalyptus tereticornis subsp. rotunda,rough bark loose basal slabs
Eucalyptus tereticornis subsp. tereticornis,rough bark loose basal slabs
Eucalyptus thamnoides subsp. megista,rough bark loose basal slabs
Eucalyptus thamnoides subsp. thamnoides,rough bark loose basal slabs
Eucalyptus triflora,rough bark loose basal slabs
Eucalyptus verrucata,rough bark loose basal slabs
Eucalyptus vicina,rough bark loose basal slabs
Eucalyptus viminalis subsp. hentyensis,rough bark loose basal slabs
Eucalyptus viminalis subsp. pryoriana,rough bark loose basal slabs
Eucalyptus viminalis subsp. viminalis,rough bark loose basal slabs
Eucalyptus viridis,rough bark loose basal slabs
Eucalyptus willisii subsp. falciformis,rough bark loose basal slabs
Eucalyptus yalatensis,rough bark loose basal slabs
Eucalyptus yarraensis,rough bark loose basal slabs
Eucalyptus youngiana,rough bark loose basal slabs
