species,bark
Angophora bakeri subsp. bakeri,rough bark box type
Angophora floribunda,rough bark box type
Angophora subvelutina,rough bark box type
Angophora woodsiana,rough bark box type
Corymbia abbreviata,rough bark box type
Corymbia arafurica,rough bark box type
Corymbia arenaria,rough bark box type
Corymbia bleeseri,rough bark box type
Corymbia bloxsomei,rough bark box type
Corymbia bunites,rough bark box type
Corymbia cadophora subsp. cadophora,rough bark box type
Corymbia cadophora subsp. pliantha,rough bark box type
Corymbia cadophora subsp. polychroma,rough bark box type
Corymbia chartacea,rough bark box type
Corymbia collina,rough bark box type
Corymbia dendromerinx,rough bark box type
Corymbia dunlopiana,rough bark box type
Corymbia erythrophloia,rough bark box type
Corymbia ferruginea subsp. ferruginea,rough bark box type
Corymbia ferruginea subsp. stypophylla,rough bark box type
Corymbia greeniana,rough bark box type
Corymbia kombolgiensis,rough bark box type
Corymbia leichhardtii,rough bark box type
Corymbia leptoloma,rough bark box type
Corymbia ligans,rough bark box type
Corymbia nesophila,rough bark box type
Corymbia novoguinensis,rough bark box type
Corymbia papillosa,rough bark box type
Corymbia papuana,rough bark box type
Corymbia paractia,rough bark box type
Corymbia peltata,rough bark box type
Corymbia petalophylla,rough bark box type
Corymbia plena,rough bark box type
Corymbia polycarpa,rough bark box type
Corymbia scabrida,rough bark box type
Corymbia torta,rough bark box type
Corymbia watsoniana subsp. capillata,rough bark box type
Corymbia watsoniana subsp. watsoniana,rough bark box type
Eucalyptus absita,rough bark box type
Eucalyptus acroleuca,rough bark box type
Eucalyptus aequioperta,rough bark box type
Eucalyptus aggregata,rough bark box type
Eucalyptus albens,rough bark box type
Eucalyptus albopurpurea,rough bark box type
Eucalyptus angophoroides,rough bark box type
Eucalyptus angularis,rough bark box type
Eucalyptus annettae,rough bark box type
Eucalyptus arachnaea subsp. arachnaea,rough bark box type
Eucalyptus arachnaea subsp. arrecta,rough bark box type
Eucalyptus argillacea,rough bark box type
Eucalyptus aridimontana,rough bark box type
Eucalyptus aspersa,rough bark box type
Eucalyptus aspratilis,rough bark box type
Eucalyptus baiophylla,rough bark box type
Eucalyptus bakeri,rough bark box type
Eucalyptus balladoniensis subsp. balladoniensis,rough bark box type
Eucalyptus balladoniensis subsp. sedens,rough bark box type
Eucalyptus banksii,rough bark box type
Eucalyptus baudiniana,rough bark box type
Eucalyptus baueriana,rough bark box type
Eucalyptus behriana,rough bark box type
Eucalyptus blaxellii,rough bark box type
Eucalyptus blaxlandii,rough bark box type
Eucalyptus bosistoana,rough bark box type
Eucalyptus brachyandra,rough bark box type
Eucalyptus brachycalyx,rough bark box type
Eucalyptus brevipes,rough bark box type
Eucalyptus bridgesiana,rough bark box type
Eucalyptus brownii,rough bark box type
Eucalyptus cadens,rough bark box type
Eucalyptus calycogona subsp. spaffordii,rough bark box type
Eucalyptus calycogona subsp. trachybasis,rough bark box type
Eucalyptus calyerup,rough bark box type
Eucalyptus cambageana,rough bark box type
Eucalyptus canescens subsp. beadellii,rough bark box type
Eucalyptus canescens subsp. canescens,rough bark box type
Eucalyptus carnei,rough bark box type
Eucalyptus celastroides subsp. celastroides,rough bark box type
Eucalyptus celastroides subsp. virella,rough bark box type
Eucalyptus chloroclada,rough bark box type
