species,rough bark compacted
Eucalyptus arachnaea subsp. arrecta,yes
Eucalyptus badjensis,yes
Eucalyptus bakeri,yes
Eucalyptus balladoniensis subsp. balladoniensis,yes
Eucalyptus balladoniensis subsp. sedens,yes
Eucalyptus brassiana,yes
Eucalyptus cadens,yes
Eucalyptus calyerup,yes
Eucalyptus cambageana,yes
Eucalyptus camphora subsp. humeana,yes
Eucalyptus cneorifolia,yes
Eucalyptus cornuta,yes
Eucalyptus crenulata,yes
Eucalyptus dendromorpha,yes
Eucalyptus elata,yes
Eucalyptus fraseri subsp. melanobasis,yes
Eucalyptus fraxinoides,yes
Eucalyptus froggattii,yes
Eucalyptus gracilis,yes
Eucalyptus indurata,yes
Eucalyptus kessellii subsp. eugnosta,yes
Eucalyptus kessellii subsp. kessellii,yes
Eucalyptus kondininensis,yes
Eucalyptus kondininensis subsp. tuberosa,yes
Eucalyptus litorea,yes
Eucalyptus lockyeri subsp. exuta,yes
Eucalyptus longicornis,yes
Eucalyptus moderata,yes
Eucalyptus myriadena,yes
Eucalyptus occidentalis,yes
Eucalyptus oleosa subsp. corvina,yes
Eucalyptus ovularis,yes
Eucalyptus sieberi,yes
Eucalyptus smithii,yes
Eucalyptus splendens subsp. splendens,yes
Eucalyptus stellulata,yes
Eucalyptus stenostoma,yes
Eucalyptus triflora,yes
