species,bark
Eucalyptus ancophila,rough bark ironbark
Eucalyptus aromaphloia subsp. aromaphloia,rough bark ironbark
Eucalyptus atrata,rough bark ironbark
Eucalyptus beaniana,rough bark ironbark
Eucalyptus beyeri,rough bark ironbark
Eucalyptus brassiana,rough bark ironbark
Eucalyptus caleyi subsp. caleyi,rough bark ironbark
Eucalyptus caleyi subsp. ovendenii,rough bark ironbark
Eucalyptus corynodes,rough bark ironbark
Eucalyptus crebra,rough bark ironbark
Eucalyptus cullenii,rough bark ironbark
Eucalyptus decolor,rough bark ironbark
Eucalyptus decorticans,rough bark ironbark
Eucalyptus dura,rough bark ironbark
Eucalyptus exilipes,rough bark ironbark
Eucalyptus farinosa,rough bark ironbark
Eucalyptus fibrosa subsp. fibrosa,rough bark ironbark
Eucalyptus fibrosa subsp. nubila,rough bark ironbark
Eucalyptus fusiformis,rough bark ironbark
Eucalyptus granitica,rough bark ironbark
Eucalyptus indurata,rough bark ironbark
Eucalyptus jensenii,rough bark ironbark
Eucalyptus melanoleuca,rough bark ironbark
Eucalyptus melanophloia subsp. melanophloia,rough bark ironbark
Eucalyptus melanophloia subsp. nana,rough bark ironbark
Eucalyptus occidentalis,rough bark ironbark
Eucalyptus ophitica,rough bark ironbark
Eucalyptus paedoglauca,rough bark ironbark
Eucalyptus panda,rough bark ironbark
Eucalyptus paniculata,rough bark ironbark
Eucalyptus placita,rough bark ironbark
Eucalyptus quadricostata,rough bark ironbark
Eucalyptus rhombica,rough bark ironbark
Eucalyptus scopulorum,rough bark ironbark
Eucalyptus shirleyi,rough bark ironbark
Eucalyptus sicilifolia,rough bark ironbark
Eucalyptus siderophloia,rough bark ironbark
Eucalyptus sideroxylon,rough bark ironbark
Eucalyptus sieberi,rough bark ironbark
Eucalyptus sp. Dorsiventralis,rough bark ironbark
Eucalyptus staigeriana,rough bark ironbark
Eucalyptus suffulgens,rough bark ironbark
Eucalyptus taurina,rough bark ironbark
Eucalyptus tetrapleura,rough bark ironbark
Eucalyptus tholiformis,rough bark ironbark
Eucalyptus tricarpa,rough bark ironbark
Eucalyptus virens,rough bark ironbark
Eucalyptus whitei,rough bark ironbark
