species,bark
Corymbia abbreviata,rough bark tessellated
Corymbia abergiana,rough bark tessellated
Corymbia arafurica,rough bark tessellated
Corymbia arenaria,rough bark tessellated
Corymbia arnhemensis,rough bark tessellated
Corymbia aspera,rough bark tessellated
Corymbia aureola,rough bark tessellated
Corymbia bella,rough bark tessellated
Corymbia blakei,rough bark tessellated
Corymbia bleeseri,rough bark tessellated
Corymbia bloxsomei,rough bark tessellated
Corymbia brachycarpa,rough bark tessellated
Corymbia bunites,rough bark tessellated
Corymbia cadophora subsp. cadophora,rough bark tessellated
Corymbia cadophora subsp. pliantha,rough bark tessellated
Corymbia cadophora subsp. polychroma,rough bark tessellated
Corymbia calophylla,rough bark tessellated
Corymbia chartacea,rough bark tessellated
Corymbia chippendalei,rough bark tessellated
Corymbia clandestina,rough bark tessellated
Corymbia clarksoniana,rough bark tessellated
Corymbia clavigera,rough bark tessellated
Corymbia cliftoniana,rough bark tessellated
Corymbia collina,rough bark tessellated
Corymbia confertiflora,rough bark tessellated
Corymbia dallachiana,rough bark tessellated
Corymbia deserticola subsp. deserticola,rough bark tessellated
Corymbia deserticola subsp. mesogeotica,rough bark tessellated
Corymbia dichromophloia,rough bark tessellated
Corymbia disjuncta,rough bark tessellated
Corymbia dunlopiana,rough bark tessellated
Corymbia ellipsoidea,rough bark tessellated
Corymbia eremaea,rough bark tessellated
Corymbia erythrophloia,rough bark tessellated
Corymbia eximia,rough bark tessellated
Corymbia ferriticola,rough bark tessellated
Corymbia ferruginea subsp. ferruginea,rough bark tessellated
Corymbia ferruginea subsp. stypophylla,rough bark tessellated
Corymbia ficifolia,rough bark tessellated
Corymbia foelscheana,rough bark tessellated
Corymbia gilbertensis,rough bark tessellated
Corymbia greeniana,rough bark tessellated
Corymbia gummifera,rough bark tessellated
Corymbia haematoxylon,rough bark tessellated
Corymbia hamersleyana,rough bark tessellated
Corymbia hendersonii,rough bark tessellated
Corymbia hylandii,rough bark tessellated
Corymbia intermedia,rough bark tessellated
Corymbia kombolgiensis,rough bark tessellated
Corymbia lamprophylla,rough bark tessellated
Corymbia latifolia,rough bark tessellated
Corymbia leichhardtii,rough bark tessellated
Corymbia lenziana,rough bark tessellated
Corymbia leptoloma,rough bark tessellated
Corymbia ligans,rough bark tessellated
Corymbia nesophila,rough bark tessellated
Corymbia novoguinensis,rough bark tessellated
Corymbia oocarpa,rough bark tessellated
Corymbia pachycarpa,rough bark tessellated
Corymbia papillosa,rough bark tessellated
Corymbia papuana,rough bark tessellated
Corymbia paractia,rough bark tessellated
Corymbia pauciseta,rough bark tessellated
Corymbia peltata,rough bark tessellated
Corymbia petalophylla,rough bark tessellated
Corymbia plena,rough bark tessellated
Corymbia pocillum,rough bark tessellated
Corymbia polycarpa,rough bark tessellated
Corymbia polysciada,rough bark tessellated
Corymbia porrecta,rough bark tessellated
Corymbia ptychocarpa subsp. aptycha,rough bark tessellated
Corymbia ptychocarpa subsp. ptychocarpa,rough bark tessellated
Corymbia rhodops,rough bark tessellated
Corymbia scabrida,rough bark tessellated
Corymbia serendipita,rough bark tessellated
Corymbia setosa,rough bark tessellated
Corymbia sphaerica,rough bark tessellated
Corymbia stockeri subsp. peninsularis,rough bark tessellated
Corymbia stockeri subsp. stockeri,rough bark tessellated
