species,bark
Angophora costata subsp. costata,partly or all smooth
Angophora costata subsp. euryphylla,partly or all smooth
Angophora costata subsp. leiocarpa,partly or all smooth
Corymbia aparrerinja,partly or all smooth
Corymbia arafurica,partly or all smooth
Corymbia arenaria,partly or all smooth
Corymbia arnhemensis,partly or all smooth
Corymbia aspera,partly or all smooth
Corymbia bella,partly or all smooth
Corymbia blakei,partly or all smooth
Corymbia bleeseri,partly or all smooth
Corymbia candida,partly or all smooth
Corymbia chippendalei,partly or all smooth
Corymbia citriodora,partly or all smooth
Corymbia clavigera,partly or all smooth
Corymbia collina,partly or all smooth
Corymbia confertiflora,partly or all smooth
Corymbia dallachiana,partly or all smooth
Corymbia dendromerinx,partly or all smooth
Corymbia dichromophloia,partly or all smooth
Corymbia disjuncta,partly or all smooth
Corymbia eremaea,partly or all smooth
Corymbia ferriticola,partly or all smooth
Corymbia flavescens,partly or all smooth
Corymbia foelscheana,partly or all smooth
Corymbia gilbertensis,partly or all smooth
Corymbia grandifolia subsp. grandifolia,partly or all smooth
Corymbia grandifolia subsp. lamprocardia,partly or all smooth
Corymbia grandifolia subsp. longa,partly or all smooth
Corymbia greeniana,partly or all smooth
Corymbia hamersleyana,partly or all smooth
Corymbia henryi,partly or all smooth
Corymbia kombolgiensis,partly or all smooth
Corymbia latifolia,partly or all smooth
Corymbia lenziana,partly or all smooth
Corymbia maculata,partly or all smooth
Corymbia oocarpa,partly or all smooth
Corymbia papuana,partly or all smooth
Corymbia paractia,partly or all smooth
Corymbia pauciseta,partly or all smooth
Corymbia pocillum,partly or all smooth
Corymbia polysciada,partly or all smooth
Corymbia serendipita,partly or all smooth
Corymbia stockeri subsp. peninsularis,partly or all smooth
Corymbia terminalis,partly or all smooth
Corymbia tessellaris,partly or all smooth
Corymbia torelliana,partly or all smooth
Corymbia torta,partly or all smooth
Corymbia umbonata,partly or all smooth
Eucalyptus abdita,partly or all smooth
Eucalyptus absita,partly or all smooth
Eucalyptus accedens,partly or all smooth
Eucalyptus acies,partly or all smooth
Eucalyptus acroleuca,partly or all smooth
Eucalyptus adesmophloia,partly or all smooth
Eucalyptus aequioperta,partly or all smooth
Eucalyptus alba var. australasica,partly or all smooth
Eucalyptus albens,partly or all smooth
Eucalyptus albida,partly or all smooth
Eucalyptus albopurpurea,partly or all smooth
Eucalyptus alipes,partly or all smooth
Eucalyptus ammophila,partly or all smooth
Eucalyptus amplifolia subsp. amplifolia,partly or all smooth
Eucalyptus amplifolia subsp. sessiliflora,partly or all smooth
Eucalyptus amygdalina,partly or all smooth
Eucalyptus angularis,partly or all smooth
Eucalyptus angulosa,partly or all smooth
Eucalyptus angustissima,partly or all smooth
Eucalyptus annettae,partly or all smooth
