species,bark
Angophora bakeri subsp. bakeri,wholly rough
Angophora bakeri subsp. crassifolia,wholly rough
Angophora floribunda,wholly rough
Angophora hispida,wholly rough
Angophora inopina,wholly rough
Angophora melanoxylon,wholly rough
Angophora robur,wholly rough
Angophora subvelutina,wholly rough
Angophora woodsiana,wholly rough
Corymbia abbreviata,wholly rough
Corymbia abergiana,wholly rough
Corymbia arenaria,wholly rough
Corymbia arnhemensis,wholly rough
Corymbia aureola,wholly rough
Corymbia bleeseri,wholly rough
Corymbia bloxsomei,wholly rough
Corymbia brachycarpa,wholly rough
Corymbia bunites,wholly rough
Corymbia cadophora subsp. cadophora,wholly rough
Corymbia cadophora subsp. pliantha,wholly rough
Corymbia cadophora subsp. polychroma,wholly rough
Corymbia calophylla,wholly rough
Corymbia chartacea,wholly rough
Corymbia chippendalei,wholly rough
Corymbia clandestina,wholly rough
Corymbia clarksoniana,wholly rough
Corymbia cliftoniana,wholly rough
Corymbia collina,wholly rough
Corymbia confertiflora,wholly rough
Corymbia deserticola subsp. deserticola,wholly rough
Corymbia deserticola subsp. mesogeotica,wholly rough
Corymbia disjuncta,wholly rough
Corymbia dunlopiana,wholly rough
Corymbia ellipsoidea,wholly rough
Corymbia eremaea,wholly rough
Corymbia erythrophloia,wholly rough
Corymbia eximia,wholly rough
Corymbia ferruginea subsp. ferruginea,wholly rough
Corymbia ferruginea subsp. stypophylla,wholly rough
Corymbia ficifolia,wholly rough
Corymbia foelscheana,wholly rough
Corymbia greeniana,wholly rough
Corymbia gummifera,wholly rough
Corymbia haematoxylon,wholly rough
Corymbia hamersleyana,wholly rough
Corymbia hendersonii,wholly rough
Corymbia hylandii,wholly rough
Corymbia intermedia,wholly rough
Corymbia jacobsiana,wholly rough
Corymbia lamprophylla,wholly rough
Corymbia latifolia,wholly rough
Corymbia leichhardtii,wholly rough
Corymbia lenziana,wholly rough
Corymbia leptoloma,wholly rough
Corymbia ligans,wholly rough
Corymbia nesophila,wholly rough
Corymbia novoguinensis,wholly rough
Corymbia pachycarpa,wholly rough
Corymbia papillosa,wholly rough
Corymbia peltata,wholly rough
Corymbia petalophylla,wholly rough
Corymbia plena,wholly rough
Corymbia pocillum,wholly rough
Corymbia polycarpa,wholly rough
Corymbia polysciada,wholly rough
Corymbia porrecta,wholly rough
Corymbia ptychocarpa subsp. aptycha,wholly rough
Corymbia ptychocarpa subsp. ptychocarpa,wholly rough
Corymbia rhodops,wholly rough
Corymbia scabrida,wholly rough
Corymbia serendipita,wholly rough
Corymbia setosa,wholly rough
Corymbia sphaerica,wholly rough
Corymbia stockeri subsp. peninsularis,wholly rough
Corymbia stockeri subsp. stockeri,wholly rough
Corymbia terminalis,wholly rough
Corymbia tessellaris,wholly rough
Corymbia trachyphloia,wholly rough
Corymbia umbonata,wholly rough
Corymbia watsoniana subsp. capillata,wholly rough
Corymbia watsoniana subsp. watsoniana,wholly rough
Corymbia xanthope,wholly rough
Corymbia zygophylla,wholly rough
Eucalyptus absita,wholly rough
Eucalyptus acaciiformis,wholly rough
Eucalyptus acmenoides,wholly rough
Eucalyptus acroleuca,wholly rough
Eucalyptus aequioperta,wholly rough
Eucalyptus agglomerata,wholly rough
Eucalyptus aggregata,wholly rough
Eucalyptus albens,wholly rough
Eucalyptus alligatrix subsp. alligatrix,wholly rough
Eucalyptus alligatrix subsp. limaensis,wholly rough
Eucalyptus alligatrix subsp. miscella,wholly rough
Eucalyptus ammophila,wholly rough
Eucalyptus amygdalina,wholly rough
Eucalyptus ancophila,wholly rough
Eucalyptus andrewsii subsp. andrewsii,wholly rough
Eucalyptus andrewsii subsp. campanulata,wholly rough
Eucalyptus angophoroides,wholly rough
Eucalyptus apothalassica,wholly rough
