species,bark
Angophora costata subsp. costata,wholly smooth
Angophora costata subsp. euryphylla,wholly smooth
Angophora costata subsp. leiocarpa,wholly smooth
Corymbia aparrerinja,wholly smooth
Corymbia arafurica,wholly smooth
Corymbia aspera,wholly smooth
Corymbia bella,wholly smooth
Corymbia blakei,wholly smooth
Corymbia bleeseri,wholly smooth
Corymbia candida,wholly smooth
Corymbia citriodora,wholly smooth
Corymbia clavigera,wholly smooth
Corymbia collina,wholly smooth
Corymbia dallachiana,wholly smooth
Corymbia dendromerinx,wholly smooth
Corymbia dichromophloia,wholly smooth
Corymbia eremaea,wholly smooth
Corymbia ferriticola,wholly smooth
Corymbia flavescens,wholly smooth
Corymbia gilbertensis,wholly smooth
Corymbia grandifolia subsp. grandifolia,wholly smooth
Corymbia grandifolia subsp. lamprocardia,wholly smooth
Corymbia grandifolia subsp. longa,wholly smooth
Corymbia greeniana,wholly smooth
Corymbia henryi,wholly smooth
Corymbia latifolia,wholly smooth
Corymbia maculata,wholly smooth
Corymbia oocarpa,wholly smooth
Corymbia papuana,wholly smooth
Corymbia paractia,wholly smooth
Corymbia torelliana,wholly smooth
Corymbia torta,wholly smooth
Eucalyptus abdita,wholly smooth
Eucalyptus absita,wholly smooth
Eucalyptus accedens,wholly smooth
Eucalyptus acies,wholly smooth
Eucalyptus adesmophloia,wholly smooth
Eucalyptus alba var. australasica,wholly smooth
Eucalyptus albida,wholly smooth
Eucalyptus albopurpurea,wholly smooth
Eucalyptus alipes,wholly smooth
Eucalyptus amplifolia subsp. amplifolia,wholly smooth
Eucalyptus amplifolia subsp. sessiliflora,wholly smooth
Eucalyptus angulosa,wholly smooth
Eucalyptus angustissima,wholly smooth
Eucalyptus annulata,wholly smooth
Eucalyptus annuliformis,wholly smooth
Eucalyptus apiculata,wholly smooth
Eucalyptus apodophylla,wholly smooth
Eucalyptus approximans subsp. approximans,wholly smooth
Eucalyptus approximans subsp. codonocarpa,wholly smooth
Eucalyptus aquilina,wholly smooth
Eucalyptus arborella,wholly smooth
Eucalyptus archeri,wholly smooth
Eucalyptus argophloia,wholly smooth
Eucalyptus argutifolia,wholly smooth
Eucalyptus aridimontana,wholly smooth
Eucalyptus armillata,wholly smooth
Eucalyptus articulata,wholly smooth
Eucalyptus aspersa,wholly smooth
Eucalyptus aspratilis,wholly smooth
Eucalyptus astringens subsp. astringens,wholly smooth
Eucalyptus astringens subsp. redacta,wholly smooth
Eucalyptus baeuerlenii,wholly smooth
Eucalyptus bancroftii,wholly smooth
Eucalyptus barberi,wholly smooth
Eucalyptus beardiana,wholly smooth
Eucalyptus benthamii,wholly smooth
Eucalyptus bigalerita,wholly smooth
Eucalyptus blakelyi,wholly smooth
Eucalyptus blaxellii,wholly smooth
Eucalyptus brachycalyx,wholly smooth
Eucalyptus brandiana,wholly smooth
Eucalyptus brevifolia,wholly smooth
Eucalyptus brockwayi,wholly smooth
Eucalyptus brookeriana,wholly smooth
Eucalyptus broviniensis,wholly smooth
Eucalyptus buprestium,wholly smooth
Eucalyptus burdettiana,wholly smooth
Eucalyptus burgessiana,wholly smooth
Eucalyptus calcareana,wholly smooth
Eucalyptus calcicola subsp. calcicola,wholly smooth
Eucalyptus calcicola subsp. unita,wholly smooth
Eucalyptus calycogona subsp. calycogona,wholly smooth
Eucalyptus calycogona subsp. miraculum,wholly smooth
Eucalyptus calycogona subsp. spaffordii,wholly smooth
Eucalyptus calyerup,wholly smooth
Eucalyptus camaldulensis subsp. acuta,wholly smooth
Eucalyptus camaldulensis subsp. arida,wholly smooth
Eucalyptus camaldulensis subsp. camaldulensis,wholly smooth
Eucalyptus camaldulensis subsp. minima,wholly smooth
Eucalyptus camaldulensis subsp. obtusa,wholly smooth
Eucalyptus camaldulensis subsp. refulgens,wholly smooth
Eucalyptus camaldulensis subsp. simulata,wholly smooth
Eucalyptus campaspe,wholly smooth
Eucalyptus camphora subsp. camphora,wholly smooth
Eucalyptus camphora subsp. humeana,wholly smooth
Eucalyptus canaliculata,wholly smooth
Eucalyptus canobolensis,wholly smooth
Eucalyptus capillosa subsp. capillosa,wholly smooth
