,BioNet_unassigned,BioNet_assigned,EUCLID_checked,EUCLID_no_match,Modification type,Notes
1,Angophora bakeri,Angophora bakeri,Angophora bakeri subsp. bakeri,NA,2,
2,Angophora bakeri subsp. bakeri,Angophora bakeri,Angophora bakeri subsp. bakeri,NA,1,
5,Angophora costata,Angophora costata,Angophora costata subsp. costata,NA,2,
6,Angophora costata subsp. costata,Angophora costata,Angophora costata subsp. costata,NA,1,
3,Angophora bakeri subsp. crassifolia,Angophora crassifolia,Angophora bakeri subsp. crassifolia,NA,1,
9,Angophora crassifolia,Angophora crassifolia,Angophora bakeri subsp. crassifolia,NA,2,
7,Angophora costata subsp. euryphylla,Angophora euryphylla,Angophora costata subsp. euryphylla,NA,1,
10,Angophora euryphylla,Angophora euryphylla,Angophora costata subsp. euryphylla,NA,2,
11,Angophora exul,Angophora exul,Angophora bakeri subsp. bakeri,NA,7,Matched; synonym of A. bakeri subsp. bakeri listed in the APC
12,Angophora floribunda,Angophora floribunda,Angophora floribunda,NA,1,
13,Angophora floribunda x paludosa,Angophora floribunda x paludosa,No match,NA,3,
14,Angophora hispida,Angophora hispida,Angophora hispida,NA,1,
15,Angophora inopina,Angophora inopina,Angophora inopina,NA,1,
8,Angophora costata subsp. leiocarpa,Angophora leiocarpa,Angophora costata subsp. leiocarpa,NA,1,
16,Angophora leiocarpa,Angophora leiocarpa,Angophora costata subsp. leiocarpa,NA,2,
17,Angophora melanoxylon,Angophora melanoxylon,Angophora melanoxylon,NA,1,
4,Angophora bakeri subsp. paludosa,Angophora paludosa,Eucalyptus ovata subsp. ovata,NA,6,Matched; synonym of E. paludosa listed in EUCLID
18,Angophora paludosa,Angophora paludosa,Eucalyptus ovata subsp. ovata,NA,6,Matched; synonym of E. paludosa listed in EUCLID
19,Angophora robur,Angophora robur,Angophora robur,NA,1,
20,Angophora robur x subvelutina,Angophora robur x subvelutina,No match,NA,3,
21,Angophora spp.,Angophora spp.,No match,NA,4,
22,Angophora subvelutina,Angophora subvelutina,Angophora subvelutina,NA,1,
23,Angophora woodsiana,Angophora woodsiana,Angophora woodsiana,NA,1,
24,Corymbia citriodora,Corymbia citriodora,Corymbia citriodora,NA,1,
25,Corymbia citriodora subsp. variegata,Corymbia citriodora,Corymbia citriodora,NA,1,
26,Corymbia dolichocarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,5,Matched; synonym of E. dolichocarpa listed on EUCLID
162,Eucalyptus dolichocarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,5,Matched; synonym of E. dolichocarpa listed on EUCLID
313,Eucalyptus polycarpa,Corymbia dolichocarpa,Corymbia clarksoniana,NA,7,Matched; synonym of C. clarksoniana listed in the APC
27,Corymbia eximia,Corymbia eximia,Corymbia eximia,NA,1,
172,Eucalyptus eximia,Corymbia eximia,Corymbia eximia,NA,1,
28,Corymbia gummifera,Corymbia gummifera,Corymbia gummifera,NA,1,
200,Eucalyptus gummifera,Corymbia gummifera,Corymbia gummifera,NA,1,
29,Corymbia henryi,Corymbia henryi,Corymbia henryi,NA,1,
204,Eucalyptus henryi,Corymbia henryi,Corymbia henryi,NA,1,
30,Corymbia intermedia,Corymbia intermedia,Corymbia intermedia,NA,1,
209,Eucalyptus intermedia,Corymbia intermedia,Corymbia intermedia,NA,1,
31,Corymbia maculata,Corymbia maculata,Corymbia maculata,NA,1,
232,Eucalyptus maculata,Corymbia maculata,Corymbia maculata,NA,1,
32,Corymbia maculata <--> variegata intergrade,Corymbia maculata <--> variegata intergrade,No match,NA,3,
33,Corymbia spp.,Corymbia spp.,No match,NA,4,
34,Corymbia tessellaris,Corymbia tessellaris,Corymbia tessellaris,NA,1,
402,Eucalyptus tessellaris,Corymbia tessellaris,Corymbia tessellaris,NA,1,
35,Corymbia torelliana,Corymbia torelliana,Corymbia torelliana,NA,1,
405,Eucalyptus torelliana,Corymbia torelliana,Corymbia torelliana,NA,1,
36,Corymbia trachyphloia,Corymbia trachyphloia,Corymbia trachyphloia,NA,1,
37,Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia,NA,7,Matched; synonym of C. trachyphloia listed in the APC
38,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia,NA,7,Matched; synonym of C. trachyphloia listed in the APC
39,Corymbia tumescens,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of C. tumescens listed on EUCLID
276,Eucalyptus opaca,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of E. opaca listed on EUCLID
401,Eucalyptus terminalis,Corymbia tumescens,Corymbia terminalis,NA,5,Matched; synonym of E. terminalis listed on EUCLID
40,Corymbia variegata,Corymbia variegata,Corymbia citriodora,NA,7,Matched; synonym of C. citriodora listed in the APC
41,Eucalyptus acaciiformis,Eucalyptus acaciiformis,Eucalyptus acaciiformis,NA,1,
42,Eucalyptus acmenioides,Eucalyptus acmenoides,Eucalyptus acmenoides,NA,1,
43,Eucalyptus acmenoides,Eucalyptus acmenoides,Eucalyptus acmenoides,NA,1,
44,Eucalyptus aenea,Eucalyptus aenea,Eucalyptus viridis,NA,7,Matched; synonym of E. viridis listed in the APC
45,Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,NA,1,
46,Eucalyptus aggregata,Eucalyptus aggregata,Eucalyptus aggregata,NA,1,
47,Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,NA,1,
48,Eucalyptus albens <--> moluccana,Eucalyptus albens <--> moluccana,No match,NA,3,
50,Eucalyptus albens x moluccana,Eucalyptus albens <--> moluccana,No match,NA,3,
49,Eucalyptus albens x crebra,Eucalyptus albens x crebra,No match,NA,3,
51,Eucalyptus amplifolia,Eucalyptus amplifolia,Eucalyptus amplifolia subsp. sessiliflora,NA,7,Matched; synonym of E. amplifolia subsp. sessiliflora listed in the APC; E. amplifolia is the accepted name
52,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,NA,1,
53,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,NA,1,
54,Eucalyptus ancophila,Eucalyptus ancophila,Eucalyptus ancophila,NA,1,
