species,branches rough
Angophora bakeri subsp. bakeri,yes
Angophora bakeri subsp. crassifolia,yes
Angophora floribunda,yes
Angophora hispida,yes
Angophora inopina,yes
Angophora melanoxylon,yes
Angophora robur,yes
Angophora subvelutina,yes
Angophora woodsiana,yes
Corymbia abbreviata,yes
Corymbia abergiana,yes
Corymbia arenaria,yes
Corymbia arnhemensis,yes
Corymbia aureola,yes
Corymbia bloxsomei,yes
Corymbia brachycarpa,yes
Corymbia bunites,yes
Corymbia cadophora subsp. cadophora,yes
Corymbia cadophora subsp. pliantha,yes
Corymbia cadophora subsp. polychroma,yes
Corymbia calophylla,yes
Corymbia chartacea,yes
Corymbia clandestina,yes
Corymbia clarksoniana,yes
Corymbia cliftoniana,yes
Corymbia collina,yes
Corymbia deserticola subsp. deserticola,yes
Corymbia deserticola subsp. mesogeotica,yes
Corymbia dunlopiana,yes
Corymbia ellipsoidea,yes
Corymbia eremaea,yes
Corymbia erythrophloia,yes
Corymbia eximia,yes
Corymbia ferruginea subsp. ferruginea,yes
Corymbia ferruginea subsp. stypophylla,yes
Corymbia ficifolia,yes
Corymbia foelscheana,yes
Corymbia greeniana,yes
Corymbia gummifera,yes
Corymbia haematoxylon,yes
Corymbia hamersleyana,yes
Corymbia hendersonii,yes
Corymbia hylandii,yes
Corymbia intermedia,yes
Corymbia jacobsiana,yes
Corymbia lamprophylla,yes
Corymbia latifolia,yes
Corymbia leichhardtii,yes
Corymbia lenziana,yes
Corymbia leptoloma,yes
Corymbia ligans,yes
Corymbia nesophila,yes
Corymbia novoguinensis,yes
Corymbia pachycarpa,yes
Corymbia papillosa,yes
Corymbia peltata,yes
Corymbia petalophylla,yes
Corymbia plena,yes
Corymbia pocillum,yes
Corymbia polycarpa,yes
Corymbia porrecta,yes
Corymbia ptychocarpa subsp. aptycha,yes
Corymbia ptychocarpa subsp. ptychocarpa,yes
Corymbia rhodops,yes
Corymbia scabrida,yes
Corymbia setosa,yes
Corymbia sphaerica,yes
Corymbia stockeri subsp. peninsularis,yes
Corymbia stockeri subsp. stockeri,yes
Corymbia terminalis,yes
Corymbia trachyphloia,yes
Corymbia umbonata,yes
Corymbia watsoniana subsp. capillata,yes
Corymbia watsoniana subsp. watsoniana,yes
Corymbia xanthope,yes
Corymbia zygophylla,yes
Eucalyptus acaciiformis,yes
Eucalyptus acmenoides,yes
Eucalyptus agglomerata,yes
Eucalyptus aggregata,yes
Eucalyptus albens,yes
Eucalyptus alligatrix subsp. alligatrix,yes
Eucalyptus alligatrix subsp. limaensis,yes
Eucalyptus ancophila,yes
Eucalyptus andrewsii subsp. andrewsii,yes
Eucalyptus andrewsii subsp. campanulata,yes
Eucalyptus angophoroides,yes
Eucalyptus apothalassica,yes
Eucalyptus arenacea,yes
Eucalyptus arenicola,yes
Eucalyptus argillacea,yes
Eucalyptus aromaphloia subsp. aromaphloia,yes
Eucalyptus aromaphloia subsp. sabulosa,yes
Eucalyptus atrata,yes
Eucalyptus aurifodina,yes
Eucalyptus baileyana,yes
Eucalyptus baiophylla,yes
Eucalyptus banksii,yes
Eucalyptus baueriana,yes
Eucalyptus baxteri,yes
Eucalyptus beaniana,yes
Eucalyptus beyeri,yes
Eucalyptus blaxlandii,yes
Eucalyptus boliviana,yes
Eucalyptus botryoides,yes
Eucalyptus brachyandra,yes
Eucalyptus brevipes,yes
Eucalyptus brevistylis,yes
Eucalyptus bridgesiana,yes
Eucalyptus brownii,yes
Eucalyptus cadens,yes
Eucalyptus caleyi subsp. caleyi,yes
Eucalyptus caleyi subsp. ovendenii,yes
Eucalyptus caliginosa,yes
Eucalyptus cameronii,yes
Eucalyptus camfieldii,yes
Eucalyptus canescens subsp. beadellii,yes
Eucalyptus canescens subsp. canescens,yes
Eucalyptus capitellata,yes
Eucalyptus carnea,yes
Eucalyptus cephalocarpa,yes
Eucalyptus ceracea,yes
Eucalyptus chlorophylla,yes
Eucalyptus cinerea subsp. cinerea,yes
Eucalyptus cinerea subsp. triplex,yes
Eucalyptus cloeziana,yes
Eucalyptus cneorifolia,yes
Eucalyptus comitae-vallis,yes
Eucalyptus conglomerata,yes
Eucalyptus conica,yes
Eucalyptus consideniana,yes
Eucalyptus conspicua subsp. conspicua,yes
Eucalyptus conspicua subsp. dispar,yes
Eucalyptus coolabah,yes
Eucalyptus cornuta,yes
Eucalyptus corticosa,yes
Eucalyptus corynodes,yes
Eucalyptus crebra,yes
Eucalyptus crenulata,yes
Eucalyptus croajingolensis,yes
Eucalyptus crucis subsp. praecipua,yes
Eucalyptus cullenii,yes
Eucalyptus decipiens,yes
Eucalyptus decolor,yes
Eucalyptus decorticans,yes
Eucalyptus distans,yes
Eucalyptus diversifolia subsp. hesperia,yes
Eucalyptus dives,yes
Eucalyptus dura,yes
Eucalyptus effusa,yes
Eucalyptus erosa,yes
