species,partly rough
Corymbia arafurica,yes
Corymbia arnhemensis,yes
Corymbia aspera,yes
Corymbia bella,yes
Corymbia blakei,yes
Corymbia bleeseri,yes
Corymbia chippendalei,yes
Corymbia clavigera,yes
Corymbia collina,yes
Corymbia confertiflora,yes
Corymbia dallachiana,yes
Corymbia dendromerinx,yes
Corymbia dichromophloia,yes
Corymbia disjuncta,yes
Corymbia eremaea,yes
Corymbia ferriticola,yes
Corymbia foelscheana,yes
Corymbia gilbertensis,yes
Corymbia greeniana,yes
Corymbia hamersleyana,yes
Corymbia kombolgiensis,yes
Corymbia latifolia,yes
Corymbia lenziana,yes
Corymbia oocarpa,yes
Corymbia papuana,yes
Corymbia paractia,yes
Corymbia pauciseta,yes
Corymbia pocillum,yes
Corymbia polysciada,yes
Corymbia serendipita,yes
Corymbia stockeri subsp. peninsularis,yes
Corymbia terminalis,yes
Corymbia tessellaris,yes
Corymbia torelliana,yes
Corymbia torta,yes
Eucalyptus absita,yes
Eucalyptus acroleuca,yes
Eucalyptus adesmophloia,yes
Eucalyptus aequioperta,yes
Eucalyptus albens,yes
Eucalyptus albopurpurea,yes
Eucalyptus ammophila,yes
Eucalyptus amplifolia subsp. amplifolia,yes
Eucalyptus amplifolia subsp. sessiliflora,yes
Eucalyptus amygdalina,yes
Eucalyptus angularis,yes
Eucalyptus angulosa,yes
Eucalyptus annettae,yes
Eucalyptus arachnaea subsp. arachnaea,yes
Eucalyptus arachnaea subsp. arrecta,yes
Eucalyptus aridimontana,yes
Eucalyptus aspersa,yes
Eucalyptus aspratilis,yes
Eucalyptus astringens subsp. astringens,yes
Eucalyptus badjensis,yes
Eucalyptus baiophylla,yes
Eucalyptus bakeri,yes
Eucalyptus balladoniensis subsp. balladoniensis,yes
Eucalyptus balladoniensis subsp. sedens,yes
Eucalyptus barberi,yes
Eucalyptus baudiniana,yes
Eucalyptus behriana,yes
Eucalyptus bensonii,yes
Eucalyptus benthamii,yes
Eucalyptus blakelyi,yes
Eucalyptus blaxellii,yes
Eucalyptus bosistoana,yes
Eucalyptus botryoides,yes
Eucalyptus brachycalyx,yes
Eucalyptus brachyphylla,yes
Eucalyptus brassiana,yes
Eucalyptus brevipes,yes
Eucalyptus brookeriana,yes
Eucalyptus burracoppinensis,yes
Eucalyptus cadens,yes
Eucalyptus calcareana,yes
Eucalyptus calycogona subsp. spaffordii,yes
Eucalyptus calycogona subsp. trachybasis,yes
Eucalyptus calyerup,yes
Eucalyptus camaldulensis subsp. camaldulensis,yes
Eucalyptus cambageana,yes
Eucalyptus camphora subsp. camphora,yes
Eucalyptus camphora subsp. humeana,yes
Eucalyptus canescens subsp. beadellii,yes
Eucalyptus canescens subsp. canescens,yes
Eucalyptus canobolensis,yes
Eucalyptus captiosa,yes
Eucalyptus carnei,yes
Eucalyptus celastroides subsp. celastroides,yes
Eucalyptus celastroides subsp. virella,yes
Eucalyptus ceratocorys,yes
Eucalyptus chapmaniana,yes
Eucalyptus chartaboma,yes
Eucalyptus chloroclada,yes
Eucalyptus clelandii,yes
Eucalyptus clivicola,yes
Eucalyptus cloeziana,yes
Eucalyptus cneorifolia,yes
Eucalyptus coccifera,yes
Eucalyptus comitae-vallis,yes
Eucalyptus concinna,yes
Eucalyptus consideniana,yes
Eucalyptus conspicua subsp. conspicua,yes
Eucalyptus conveniens,yes
Eucalyptus coolabah,yes
Eucalyptus cooperiana,yes
Eucalyptus cordata subsp. quadrangulosa,yes
Eucalyptus cornuta,yes
Eucalyptus corrugata,yes
Eucalyptus cosmophylla,yes
Eucalyptus crenulata,yes
Eucalyptus cretata,yes
Eucalyptus crispata,yes
Eucalyptus croajingolensis,yes
Eucalyptus cuprea,yes
Eucalyptus cyanophylla,yes
Eucalyptus cylindrocarpa,yes
Eucalyptus cypellocarpa,yes
Eucalyptus dalrympleana subsp. dalrympleana,yes
Eucalyptus dalrympleana subsp. heptantha,yes
Eucalyptus dawsonii,yes
Eucalyptus dealbata,yes
Eucalyptus deanei,yes
Eucalyptus delegatensis subsp. delegatensis,yes
Eucalyptus delegatensis subsp. tasmaniensis,yes
Eucalyptus delicata,yes
Eucalyptus dendromorpha,yes
Eucalyptus denticulata,yes
Eucalyptus diminuta,yes
Eucalyptus discreta,yes
Eucalyptus diversifolia subsp. hesperia,yes
Eucalyptus dolichocera,yes
Eucalyptus dolorosa,yes
Eucalyptus doratoxylon,yes
Eucalyptus dorrigoensis,yes
Eucalyptus dumosa,yes
Eucalyptus dundasii,yes
Eucalyptus dunnii,yes
Eucalyptus dwyeri,yes
Eucalyptus ebbanoensis subsp. ebbanoensis,yes
Eucalyptus ebbanoensis subsp. photina,yes
Eucalyptus effusa,yes
Eucalyptus elaeophloia,yes
Eucalyptus elata,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eremicola subsp. peeneri,yes
Eucalyptus erythrandra,yes
Eucalyptus erythrocorys,yes
Eucalyptus eudesmioides subsp. eudesmioides,yes
Eucalyptus eudesmioides subsp. Pallida,yes
Eucalyptus ewartiana,yes
Eucalyptus extrica,yes
Eucalyptus famelica,yes
Eucalyptus fasciculosa,yes
Eucalyptus fastigata,yes
Eucalyptus flavida,yes
Eucalyptus flindersii,yes
Eucalyptus flocktoniae subsp. flocktoniae,yes
Eucalyptus foecunda,yes
Eucalyptus formanii,yes
Eucalyptus fraseri subsp. melanobasis,yes
Eucalyptus fraxinoides,yes
Eucalyptus froggattii,yes
Eucalyptus fruticosa,yes
Eucalyptus gamophylla,yes
Eucalyptus gardneri subsp. gardneri,yes
Eucalyptus gigantangion,yes
Eucalyptus gillii,yes
Eucalyptus gittinsii subsp. gittinsii,yes
Eucalyptus gittinsii subsp. illucida,yes
Eucalyptus glaucescens,yes
Eucalyptus globulus subsp. bicostata,yes
Eucalyptus globulus subsp. globulus,yes
Eucalyptus globulus subsp. maidenii,yes
Eucalyptus globulus subsp. pseudoglobulus,yes
Eucalyptus glomerosa,yes
Eucalyptus gongylocarpa,yes
Eucalyptus goniantha subsp. goniantha,yes
Eucalyptus goniocalyx subsp. exposa,yes
Eucalyptus goniocalyx subsp. goniocalyx,yes
Eucalyptus gracilis,yes
Eucalyptus grandis,yes
Eucalyptus griffithsii,yes
Eucalyptus grossa,yes
Eucalyptus gunnii,yes
Eucalyptus gypsophila,yes
Eucalyptus halophila,yes
Eucalyptus hebetifolia,yes
Eucalyptus histophylla,yes
Eucalyptus horistes,yes
Eucalyptus hypolaena,yes
Eucalyptus imlayensis,yes
Eucalyptus incrassata,yes
Eucalyptus indurata,yes
Eucalyptus insularis,yes
Eucalyptus intertexta,yes
Eucalyptus johnsoniana,yes
Eucalyptus johnstonii,yes
Eucalyptus jucunda,yes
Eucalyptus jutsonii subsp. jutsonii,yes
Eucalyptus kabiana,yes
Eucalyptus kartzoffiana,yes
Eucalyptus kessellii subsp. eugnosta,yes
Eucalyptus kessellii subsp. kessellii,yes
Eucalyptus kingsmillii subsp. alatissima,yes
Eucalyptus kingsmillii subsp. kingsmillii,yes
Eucalyptus kitsoniana,yes
Eucalyptus kochii subsp. borealis,yes
Eucalyptus kochii subsp. kochii,yes
Eucalyptus kochii subsp. plenissima,yes
Eucalyptus kochii subsp. yellowdinensis,yes
Eucalyptus kondininensis,yes
Eucalyptus kondininensis subsp. tuberosa,yes
