species,rough bark box type
Angophora bakeri subsp. bakeri,yes
Angophora floribunda,yes
Angophora subvelutina,yes
Angophora woodsiana,yes
Corymbia abbreviata,yes
Corymbia arafurica,yes
Corymbia arenaria,yes
Corymbia bleeseri,yes
Corymbia bloxsomei,yes
Corymbia bunites,yes
Corymbia cadophora subsp. cadophora,yes
Corymbia cadophora subsp. pliantha,yes
Corymbia cadophora subsp. polychroma,yes
Corymbia chartacea,yes
Corymbia collina,yes
Corymbia dendromerinx,yes
Corymbia dunlopiana,yes
Corymbia erythrophloia,yes
Corymbia ferruginea subsp. ferruginea,yes
Corymbia ferruginea subsp. stypophylla,yes
Corymbia greeniana,yes
Corymbia kombolgiensis,yes
Corymbia leichhardtii,yes
Corymbia leptoloma,yes
Corymbia ligans,yes
Corymbia nesophila,yes
Corymbia novoguinensis,yes
Corymbia papillosa,yes
Corymbia papuana,yes
Corymbia paractia,yes
Corymbia peltata,yes
Corymbia petalophylla,yes
Corymbia plena,yes
Corymbia polycarpa,yes
Corymbia scabrida,yes
Corymbia torta,yes
Corymbia watsoniana subsp. capillata,yes
Corymbia watsoniana subsp. watsoniana,yes
Eucalyptus absita,yes
Eucalyptus acroleuca,yes
Eucalyptus aequioperta,yes
Eucalyptus aggregata,yes
Eucalyptus albens,yes
Eucalyptus albopurpurea,yes
Eucalyptus angophoroides,yes
Eucalyptus angularis,yes
Eucalyptus annettae,yes
Eucalyptus arachnaea subsp. arachnaea,yes
Eucalyptus arachnaea subsp. arrecta,yes
Eucalyptus argillacea,yes
Eucalyptus aridimontana,yes
Eucalyptus aspersa,yes
Eucalyptus aspratilis,yes
Eucalyptus baiophylla,yes
Eucalyptus bakeri,yes
Eucalyptus balladoniensis subsp. balladoniensis,yes
Eucalyptus balladoniensis subsp. sedens,yes
Eucalyptus banksii,yes
Eucalyptus baudiniana,yes
Eucalyptus baueriana,yes
Eucalyptus behriana,yes
Eucalyptus blaxellii,yes
Eucalyptus blaxlandii,yes
Eucalyptus bosistoana,yes
Eucalyptus brachyandra,yes
Eucalyptus brachycalyx,yes
Eucalyptus brevipes,yes
Eucalyptus bridgesiana,yes
Eucalyptus brownii,yes
Eucalyptus cadens,yes
Eucalyptus calycogona subsp. spaffordii,yes
Eucalyptus calycogona subsp. trachybasis,yes
Eucalyptus calyerup,yes
Eucalyptus cambageana,yes
Eucalyptus canescens subsp. beadellii,yes
Eucalyptus canescens subsp. canescens,yes
Eucalyptus carnei,yes
Eucalyptus celastroides subsp. celastroides,yes
Eucalyptus celastroides subsp. virella,yes
Eucalyptus chloroclada,yes
Eucalyptus chlorophylla,yes
Eucalyptus clelandii,yes
Eucalyptus cloeziana,yes
Eucalyptus comitae-vallis,yes
Eucalyptus concinna,yes
Eucalyptus conica,yes
Eucalyptus conveniens,yes
Eucalyptus coolabah,yes
Eucalyptus cooperiana,yes
Eucalyptus cornuta,yes
Eucalyptus corrugata,yes
Eucalyptus cretata,yes
Eucalyptus cuprea,yes
Eucalyptus cyanophylla,yes
Eucalyptus cylindrocarpa,yes
Eucalyptus cypellocarpa,yes
Eucalyptus decipiens,yes
Eucalyptus delicata,yes
Eucalyptus dendromorpha,yes
Eucalyptus diminuta,yes
Eucalyptus distans,yes
Eucalyptus dives,yes
Eucalyptus dolichocera,yes
Eucalyptus dolorosa,yes
Eucalyptus doratoxylon,yes
Eucalyptus dumosa,yes
Eucalyptus dundasii,yes
Eucalyptus ebbanoensis subsp. ebbanoensis,yes
Eucalyptus ebbanoensis subsp. photina,yes
Eucalyptus effusa,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eremicola subsp. peeneri,yes
Eucalyptus erythrocorys,yes
Eucalyptus eudesmioides subsp. eudesmioides,yes
Eucalyptus eudesmioides subsp. Pallida,yes
Eucalyptus exserta,yes
Eucalyptus flavida,yes
Eucalyptus flindersii,yes
Eucalyptus foecunda,yes
Eucalyptus formanii,yes
Eucalyptus froggattii,yes
Eucalyptus fruticosa,yes
Eucalyptus fulgens,yes
Eucalyptus gamophylla,yes
