species,rough bark ironbark
Eucalyptus ancophila,yes
Eucalyptus aromaphloia subsp. aromaphloia,yes
Eucalyptus atrata,yes
Eucalyptus beaniana,yes
Eucalyptus beyeri,yes
Eucalyptus brassiana,yes
Eucalyptus caleyi subsp. caleyi,yes
Eucalyptus caleyi subsp. ovendenii,yes
Eucalyptus corynodes,yes
Eucalyptus crebra,yes
Eucalyptus cullenii,yes
Eucalyptus decolor,yes
Eucalyptus decorticans,yes
Eucalyptus dura,yes
Eucalyptus exilipes,yes
Eucalyptus farinosa,yes
Eucalyptus fibrosa subsp. fibrosa,yes
Eucalyptus fibrosa subsp. nubila,yes
Eucalyptus fusiformis,yes
Eucalyptus granitica,yes
Eucalyptus indurata,yes
Eucalyptus jensenii,yes
Eucalyptus melanoleuca,yes
Eucalyptus melanophloia subsp. melanophloia,yes
Eucalyptus melanophloia subsp. nana,yes
Eucalyptus occidentalis,yes
Eucalyptus ophitica,yes
Eucalyptus paedoglauca,yes
Eucalyptus panda,yes
Eucalyptus paniculata,yes
Eucalyptus placita,yes
Eucalyptus quadricostata,yes
Eucalyptus rhombica,yes
Eucalyptus scopulorum,yes
Eucalyptus shirleyi,yes
Eucalyptus sicilifolia,yes
Eucalyptus siderophloia,yes
Eucalyptus sideroxylon,yes
Eucalyptus sieberi,yes
Eucalyptus sp. Dorsiventralis,yes
Eucalyptus staigeriana,yes
Eucalyptus suffulgens,yes
Eucalyptus taurina,yes
Eucalyptus tetrapleura,yes
Eucalyptus tholiformis,yes
Eucalyptus tricarpa,yes
Eucalyptus virens,yes
Eucalyptus whitei,yes
