"","eucalypts","bark"
"1","Eucalyptus abdita","smooth throughout, grey."
"2","Eucalyptus absita","rough over part or all of trunks, box-type to fibrous, rarely smooth throughout, grey, yellow-grey and grey-brown, smooth above, grey over green-brown. "
"3","Eucalyptus acaciiformis","rough to small branches, stringy or fibrous, grey to grey-brown."
"4","Eucalyptus accedens","smooth throughout, powdery, white over pale orange to creamy pink."
"5","Eucalyptus acies","smooth, mottled shades of pale grey, pink-grey and brown-grey."
"6","Eucalyptus acmenoides","rough to small branches, fibrous, grey or grey-brown, held in flattish strips rather than typical stringybark."
"7","Eucalyptus acroleuca","rough on part or all of trunk, box-type or sometimes tessellated, grey or blackish, large branches and sometimes upper trunk smooth-barked, white to grey."
"8","Eucalyptus adesmophloia","partly rough with loose, papery or brittle ribbons of imperfectly shed pale grey-brown bark on at least base of or over most of trunk, smooth bark whitish to pink, pale orange or grey."
"9","Eucalyptus aequioperta","rough, dark grey, fairly firm and scaly or flaky to fibrous for about half of to all of trunk and large limbs to ca 15 cm diameter, becoming slightly tessellated on older trees, smooth above, dull pinkish grey to whitish."
"10","Eucalyptus agglomerata","rough to small branches, stringy or fibrous, dark grey or grey-brown."
"11","Eucalyptus alba","smooth, new bark pale orange to pale pink to pale yellow to creamy-white, maturing to white and weathering to grey or reddish brown just before decortication."
"12","Eucalyptus albens","rough on most or all of trunk and base of large branches, rarely extending to branches 8 cm diameter, box type, often becoming tessellated, pale grey or mottled grey and white patches, smooth bark of branches predominantly white, sometimes grey, or tinged orange, pink or salmon."
"13","Eucalyptus albopurpurea","rough on part or most of stems, fibrous to box-type, grey to grey-brown, or smooth throughout, grey to pink-grey or coppery brown, the crown sometimes ribbony."
"14","Eucalyptus alipes","smooth throughout, pale shiny grey over grey-brown to bronze."
"15","Eucalyptus alligatrix","rough to small branches or rarely the branches 8cm diameter smooth, rough bark thick, fibrous, coarsely furrowed down trunk, grey; branchlets rarely glaucous."
"16","Eucalyptus ammophila","rough, usually to the base of the branches, sometimes only on the lower trunk, fibrous, grey-brown. Upper trunk and branches with grey to grey-brown over orange to bronze smooth bark."
"17","Eucalyptus amplifolia","smooth throughout or with loose, greyish slabs persistent at base of trunk, smooth bark often becoming granular with age, white, grey, cream, brown or orange."
"18","Eucalyptus amygdalina","rough on part or all of trunk and to base of large branches, finely fibrous peppermint type, dark grey to grey-brown, smooth bark white to grey, or brownish, sometimes with ribbons of decorticated bark held in the upper branches."
"19","Eucalyptus andrewsii","rough throughout or only on trunk and large branches, finely fibrous (like peppermints), grey or grey-brown, smooth bark whitish."
"20","Eucalyptus angophoroides","rough on trunk and branches, shortly and closely fibrous, often tessellated, grey, or mottled with grey and white patches, horizontal black scars sometimes present on trunk."
"21","Eucalyptus angularis","rough for basal ca 1m of stem, grey, smooth above."
"22","Eucalyptus angulosa","smooth throughout with some grey, loose imperfectly decorticated strips of rough bark accumulating on lower stems; smooth bark pale grey, grey-brown, white or pinkish to coppery with ribbons of decorticated bark in the upper branches."
"23","Eucalyptus angustissima","smooth throughout, mottled pale grey, pale brown, orange and whitish, ribbons sometimes present."
"24","Eucalyptus annettae","rough hard and dark grey on lower ca 2 m of trunk,smooth greyover cream above that. Young reproductive trees may lack or have virtually no rough bark."
"25","Eucalyptus annulata","b usually smooth throughout, of 'oily' appearance, grey and red-brown to yellowish green."
"26","Eucalyptus annuliformis","smooth throughout, greyish. "
"27","Eucalyptus apiculata","smooth, cream, grey, brown or green."
